Sorted container:
Container contains 1000 elements.0: It is Parallelepiped: a = 18, b = 20, c = 19. SurfaceArea = 2164.000000.
61: It is Parallelepiped: a = 20, b = 10, c = 10. SurfaceArea = 1000.000000.
62: It is Parallelepiped: a = 13, b = 16, c = 10. SurfaceArea = 996.000000.
63: It is Parallelepiped: a = 16, b = 10, c = 13. SurfaceArea = 996.000000.
64: It is Parallelepiped: a = 19, b = 18, c = 4. SurfaceArea = 980.000000.
65: It is Parallelepiped: a = 18, b = 19, c = 4. SurfaceArea = 980.000000.
66: It is Parallelepiped: a = 8, b = 15, c = 16. SurfaceArea = 976.000000.
67: It is Parallelepiped: a = 13, b = 18, c = 8. SurfaceArea = 964.000000.
68: It is Parallelepiped: a = 20, b = 2, c = 20. SurfaceArea = 960.000000.
69: It is Parallelepiped: a = 8, b = 12, c = 19. SurfaceArea = 952.000000.
70: It is Parallelepiped: a = 15, b = 13, c = 10. SurfaceArea = 950.000000.
71: It is Parallelepiped: a = 15, b = 5, c = 20. SurfaceArea = 950.000000.
72: It is Parallelepiped: a = 20, b = 5, c = 15. SurfaceArea = 950.000000.
73: It is Parallelepiped: a = 3, b = 18, c = 20. SurfaceArea = 948.000000.
74: It is Parallelepiped: a = 15, b = 9, c = 14. SurfaceArea = 942.000000.
75: It is Parallelepiped: a = 10, b = 9, c = 20. SurfaceArea = 940.000000.
76: It is Parallelepiped: a = 9, b = 16, c = 13. SurfaceArea = 938.000000.
77: It is Parallelepiped: a = 15, b = 6, c = 18. SurfaceArea = 936.000000.
78: It is Parallelepiped: a = 17, b = 17, c = 5. SurfaceArea = 918.000000.
79: It is Parallelepiped: a = 11, b = 8, c = 19. SurfaceArea = 898.000000.
80: It is Parallelepiped: a = 7, b = 12, c = 19. SurfaceArea = 890.000000.
81: It is Parallelepiped: a = 18, b = 6, c = 14. SurfaceArea = 888.000000.
82: It is Parallelepiped: a = 8, b = 14, c = 15. SurfaceArea = 884.000000.
83: It is Parallelepiped: a = 8, b = 15, c = 14. SurfaceArea = 884.000000.
84: It is Parallelepiped: a = 20, b = 15, c = 4. SurfaceArea = 880.000000.
85: It is Parallelepiped: a = 1, b = 20, c = 20. SurfaceArea = 880.000000.
86: It is Parallelepiped: a = 11, b = 9, c = 17. SurfaceArea = 878.000000.
87: It is Parallelepiped: a = 6, b = 13, c = 19. SurfaceArea = 878.000000.
88: It is Parallelepiped: a = 18, b = 9, c = 10. SurfaceArea = 864.000000.
89: It is Parallelepiped: a = 17, b = 13, c = 7. SurfaceArea = 862.000000.
90: It is Parallelepiped: a = 13, b = 13, c = 10. SurfaceArea = 858.000000.
91: It is Parallelepiped: a = 6, b = 15, c = 16. SurfaceArea = 852.000000.
92: It is Parallelepiped: a = 9, b = 13, c = 14. SurfaceArea = 850.000000.
93: It is Parallelepiped: a = 13, b = 20, c = 5. SurfaceArea = 850.000000.
94: It is Parallelepiped: a = 16, b = 4, c = 18. SurfaceArea = 848.000000.
95: It is Parallelepiped: a = 14, b = 17, c = 6. SurfaceArea = 848.000000.
96: It is Parallelepiped: a = 19, b = 9, c = 9. SurfaceArea = 846.000000.
97: It is Parallelepiped: a = 9, b = 16, c = 11. SurfaceArea = 838.000000.
98: It is Parallelepiped: a = 19, b = 11, c = 7. SurfaceArea = 838.000000.
99: It is Parallelepiped: a = 9, b = 11, c = 16. SurfaceArea = 838.000000.
100: It is Parallelepiped: a = 9, b = 11, c = 16. SurfaceArea = 838.000000.
101: It is Parallelepiped: a = 4, b = 20, c = 14. SurfaceArea = 832.000000.
102: It is Parallelepiped: a = 5, b = 16, c = 16. SurfaceArea = 832.000000.
103: It is Parallelepiped: a = 6, b = 12, c = 19. SurfaceArea = 828.000000.
104: It is Parallelepiped: a = 2, b = 20, c = 17. SurfaceArea = 828.000000.
105: It is Parallelepiped: a = 8, b = 17, c = 11. SurfaceArea = 822.000000.
106: It is Parallelepiped: a = 11, b = 12, c = 12. SurfaceArea = 816.000000.
107: It is Parallelepiped: a = 20, b = 6, c = 11. SurfaceArea = 812.000000.
108: It is Parallelepiped: a = 9, b = 11, c = 15. SurfaceArea = 798.000000.
109: It is Parallelepiped: a = 14, b = 13, c = 8. SurfaceArea = 796.000000.
110: It is Parallelepiped: a = 17, b = 19, c = 2. SurfaceArea = 790.000000.
111: It is Parallelepiped: a = 19, b = 8, c = 9. SurfaceArea = 790.000000.
112: It is Parallelepiped: a = 7, b = 16, c = 12. SurfaceArea = 776.000000.
113: It is Parallelepiped: a = 13, b = 10, c = 11. SurfaceArea = 766.000000.
114: It is Parallelepiped: a = 11, b = 10, c = 13. SurfaceArea = 766.000000.
115: It is Parallelepiped: a = 3, b = 14, c = 20. SurfaceArea = 764.000000.
116: It is Parallelepiped: a = 14, b = 18, c = 4. SurfaceArea = 760.000000.
117: It is Parallelepiped: a = 18, b = 1, c = 19. SurfaceArea = 758.000000.
118: It is Parallelepiped: a = 12, b = 8, c = 14. SurfaceArea = 752.000000.
119: It is Parallelepiped: a = 9, b = 16, c = 9. SurfaceArea = 738.000000.
120: It is Parallelepiped: a = 15, b = 16, c = 4. SurfaceArea = 728.000000.
121: It is Parallelepiped: a = 15, b = 6, c = 13. SurfaceArea = 726.000000.
122: It is Parallelepiped: a = 11, b = 12, c = 10. SurfaceArea = 724.000000.
123: It is Parallelepiped: a = 10, b = 13, c = 10. SurfaceArea = 720.000000.
124: It is Parallelepiped: a = 20, b = 3, c = 13. SurfaceArea = 718.000000.
125: It is Parallelepiped: a = 4, b = 18, c = 13. SurfaceArea = 716.000000.
126: It is Parallelepiped: a = 9, b = 14, c = 10. SurfaceArea = 712.000000.
127: It is Parallelepiped: a = 14, b = 15, c = 5. SurfaceArea = 710.000000.
128: It is Parallelepiped: a = 9, b = 6, c = 20. SurfaceArea = 708.000000.
129: It is Parallelepiped: a = 7, b = 13, c = 13. SurfaceArea = 702.000000.
130: It is Parallelepiped: a = 13, b = 7, c = 13. SurfaceArea = 702.000000.
131: It is Parallelepiped: a = 10, b = 15, c = 8. SurfaceArea = 700.000000.
132: It is Parallelepiped: a = 5, b = 17, c = 12. SurfaceArea = 698.000000.
133: It is Parallelepiped: a = 3, b = 14, c = 18. SurfaceArea = 696.000000.
134: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
135: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
136: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
137: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
138: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
139: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
140: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
141: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
142: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
143: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
144: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
145: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
146: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
147: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
148: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
149: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
150: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
151: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
152: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
153: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
154: It is Tetrahedron: a = 20. SurfaceArea = 692.820323.
155: It is Parallelepiped: a = 3, b = 19, c = 13. SurfaceArea = 686.000000.
156: It is Parallelepiped: a = 15, b = 6, c = 12. SurfaceArea = 684.000000.
157: It is Parallelepiped: a = 4, b = 17, c = 13. SurfaceArea = 682.000000.
158: It is Parallelepiped: a = 16, b = 1, c = 19. SurfaceArea = 678.000000.
159: It is Parallelepiped: a = 4, b = 18, c = 12. SurfaceArea = 672.000000.
160: It is Parallelepiped: a = 15, b = 5, c = 13. SurfaceArea = 670.000000.
161: It is Parallelepiped: a = 9, b = 9, c = 14. SurfaceArea = 666.000000.
162: It is Parallelepiped: a = 13, b = 7, c = 12. SurfaceArea = 662.000000.
163: It is Parallelepiped: a = 11, b = 14, c = 7. SurfaceArea = 658.000000.
164: It is Parallelepiped: a = 11, b = 19, c = 4. SurfaceArea = 658.000000.
165: It is Parallelepiped: a = 4, b = 11, c = 19. SurfaceArea = 658.000000.
166: It is Parallelepiped: a = 15, b = 8, c = 9. SurfaceArea = 654.000000.
167: It is Parallelepiped: a = 16, b = 16, c = 2. SurfaceArea = 640.000000.
168: It is Parallelepiped: a = 16, b = 6, c = 10. SurfaceArea = 632.000000.
169: It is Parallelepiped: a = 16, b = 10, c = 6. SurfaceArea = 632.000000.
170: It is Parallelepiped: a = 8, b = 19, c = 6. SurfaceArea = 628.000000.
171: It is Parallelepiped: a = 3, b = 11, c = 20. SurfaceArea = 626.000000.
172: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
173: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
174: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
175: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
176: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
177: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
178: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
179: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
180: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
181: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
182: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
183: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
184: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
185: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
186: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
187: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
188: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
189: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
190: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
191: It is Tetrahedron: a = 19. SurfaceArea = 625.270342.
192: It is Parallelepiped: a = 13, b = 17, c = 3. SurfaceArea = 622.000000.
193: It is Parallelepiped: a = 4, b = 10, c = 19. SurfaceArea = 612.000000.
194: It is Parallelepiped: a = 5, b = 17, c = 10. SurfaceArea = 610.000000.
195: It is Parallelepiped: a = 1, b = 15, c = 18. SurfaceArea = 606.000000.
196: It is Parallelepiped: a = 2, b = 15, c = 16. SurfaceArea = 604.000000.
197: It is Parallelepiped: a = 7, b = 7, c = 18. SurfaceArea = 602.000000.
198: It is Parallelepiped: a = 15, b = 10, c = 6. SurfaceArea = 600.000000.
199: It is Parallelepiped: a = 8, b = 5, c = 20. SurfaceArea = 600.000000.
200: It is Parallelepiped: a = 15, b = 6, c = 10. SurfaceArea = 600.000000.
201: It is Parallelepiped: a = 4, b = 11, c = 17. SurfaceArea = 598.000000.
202: It is Parallelepiped: a = 3, b = 14, c = 15. SurfaceArea = 594.000000.
203: It is Parallelepiped: a = 2, b = 18, c = 13. SurfaceArea = 592.000000.
204: It is Parallelepiped: a = 11, b = 5, c = 15. SurfaceArea = 590.000000.
205: It is Parallelepiped: a = 20, b = 13, c = 1. SurfaceArea = 586.000000.
206: It is Parallelepiped: a = 13, b = 7, c = 10. SurfaceArea = 582.000000.
207: It is Parallelepiped: a = 16, b = 10, c = 5. SurfaceArea = 580.000000.
208: It is Parallelepiped: a = 17, b = 7, c = 7. SurfaceArea = 574.000000.
209: It is Parallelepiped: a = 14, b = 7, c = 9. SurfaceArea = 574.000000.
210: It is Parallelepiped: a = 14, b = 10, c = 6. SurfaceArea = 568.000000.
211: It is Parallelepiped: a = 12, b = 5, c = 13. SurfaceArea = 562.000000.
212: It is Parallelepiped: a = 2, b = 13, c = 17. SurfaceArea = 562.000000.
213: It is Parallelepiped: a = 13, b = 5, c = 12. SurfaceArea = 562.000000.
214: It is Tetrahedron: a = 18. SurfaceArea = 561.184462.
215: It is Tetrahedron: a = 18. SurfaceArea = 561.184462.
216: It is Tetrahedron: a = 18. SurfaceArea = 561.184462.
217: It is Tetrahedron: a = 18. SurfaceArea = 561.184462.
218: It is Tetrahedron: a = 18. SurfaceArea = 561.184462.
219: It is Tetrahedron: a = 18. SurfaceArea = 561.184462.
220: It is Tetrahedron: a = 18. SurfaceArea = 561.184462.
221: It is Tetrahedron: a = 18. SurfaceArea = 561.184462.
222: It is Tetrahedron: a = 18. SurfaceArea = 561.184462.
223: It is Tetrahedron: a = 18. SurfaceArea = 561.184462.
224: It is Tetrahedron: a = 18. SurfaceArea = 561.184462.
225: It is Parallelepiped: a = 11, b = 14, c = 5. SurfaceArea = 558.000000.
226: It is Parallelepiped: a = 4, b = 17, c = 10. SurfaceArea = 556.000000.
227: It is Parallelepiped: a = 3, b = 19, c = 10. SurfaceArea = 554.000000.
228: It is Parallelepiped: a = 19, b = 3, c = 10. SurfaceArea = 554.000000.
229: It is Parallelepiped: a = 20, b = 6, c = 6. SurfaceArea = 552.000000.
230: It is Parallelepiped: a = 16, b = 6, c = 8. SurfaceArea = 544.000000.
231: It is Parallelepiped: a = 2, b = 11, c = 19. SurfaceArea = 538.000000.
232: It is Parallelepiped: a = 4, b = 11, c = 15. SurfaceArea = 538.000000.
233: It is Parallelepiped: a = 3, b = 20, c = 9. SurfaceArea = 534.000000.
234: It is Parallelepiped: a = 14, b = 7, c = 8. SurfaceArea = 532.000000.
235: It is Parallelepiped: a = 14, b = 7, c = 8. SurfaceArea = 532.000000.
236: It is Parallelepiped: a = 10, b = 20, c = 2. SurfaceArea = 520.000000.
237: It is Parallelepiped: a = 6, b = 8, c = 15. SurfaceArea = 516.000000.
238: It is Parallelepiped: a = 4, b = 9, c = 17. SurfaceArea = 514.000000.
239: It is Parallelepiped: a = 11, b = 14, c = 4. SurfaceArea = 508.000000.
240: It is Parallelepiped: a = 10, b = 12, c = 6. SurfaceArea = 504.000000.
241: It is Parallelepiped: a = 8, b = 7, c = 13. SurfaceArea = 502.000000.
242: It is Parallelepiped: a = 5, b = 7, c = 18. SurfaceArea = 502.000000.
243: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
244: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
245: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
246: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
247: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
248: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
249: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
250: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
251: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
252: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
253: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
254: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
255: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
256: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
257: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
258: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
259: It is Tetrahedron: a = 17. SurfaceArea = 500.562683.
260: It is Parallelepiped: a = 4, b = 10, c = 15. SurfaceArea = 500.000000.
261: It is Parallelepiped: a = 7, b = 4, c = 20. SurfaceArea = 496.000000.
262: It is Parallelepiped: a = 1, b = 11, c = 19. SurfaceArea = 478.000000.
263: It is Parallelepiped: a = 8, b = 12, c = 7. SurfaceArea = 472.000000.
264: It is Parallelepiped: a = 10, b = 11, c = 6. SurfaceArea = 472.000000.
265: It is Parallelepiped: a = 6, b = 10, c = 11. SurfaceArea = 472.000000.
266: It is Parallelepiped: a = 7, b = 12, c = 8. SurfaceArea = 472.000000.
267: It is Parallelepiped: a = 4, b = 10, c = 14. SurfaceArea = 472.000000.
268: It is Parallelepiped: a = 9, b = 6, c = 12. SurfaceArea = 468.000000.
269: It is Parallelepiped: a = 13, b = 7, c = 7. SurfaceArea = 462.000000.
270: It is Parallelepiped: a = 5, b = 10, c = 12. SurfaceArea = 460.000000.
271: It is Parallelepiped: a = 1, b = 10, c = 20. SurfaceArea = 460.000000.
272: It is Parallelepiped: a = 14, b = 1, c = 14. SurfaceArea = 448.000000.
273: It is Parallelepiped: a = 15, b = 1, c = 13. SurfaceArea = 446.000000.
274: It is Parallelepiped: a = 5, b = 8, c = 14. SurfaceArea = 444.000000.
275: It is Parallelepiped: a = 8, b = 3, c = 18. SurfaceArea = 444.000000.
276: It is Parallelepiped: a = 5, b = 8, c = 14. SurfaceArea = 444.000000.
277: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
278: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
279: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
280: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
281: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
282: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
283: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
284: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
285: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
286: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
287: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
288: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
289: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
290: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
291: It is Tetrahedron: a = 16. SurfaceArea = 443.405007.
292: It is Parallelepiped: a = 1, b = 10, c = 19. SurfaceArea = 438.000000.
293: It is Parallelepiped: a = 11, b = 2, c = 15. SurfaceArea = 434.000000.
294: It is Parallelepiped: a = 3, b = 12, c = 12. SurfaceArea = 432.000000.
295: It is Parallelepiped: a = 18, b = 9, c = 2. SurfaceArea = 432.000000.
296: It is Parallelepiped: a = 6, b = 12, c = 8. SurfaceArea = 432.000000.
297: It is Parallelepiped: a = 17, b = 7, c = 4. SurfaceArea = 430.000000.
298: It is Parallelepiped: a = 9, b = 5, c = 12. SurfaceArea = 426.000000.
299: It is Parallelepiped: a = 14, b = 13, c = 1. SurfaceArea = 418.000000.
300: It is Parallelepiped: a = 9, b = 9, c = 7. SurfaceArea = 414.000000.
301: It is Parallelepiped: a = 15, b = 1, c = 12. SurfaceArea = 414.000000.
302: It is Parallelepiped: a = 2, b = 9, c = 17. SurfaceArea = 410.000000.
303: It is Parallelepiped: a = 13, b = 4, c = 9. SurfaceArea = 410.000000.
304: It is Parallelepiped: a = 11, b = 7, c = 7. SurfaceArea = 406.000000.
305: It is Parallelepiped: a = 2, b = 18, c = 8. SurfaceArea = 392.000000.
306: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
307: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
308: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
309: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
310: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
311: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
312: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
313: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
314: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
315: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
316: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
317: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
318: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
319: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
320: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
321: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
322: It is Tetrahedron: a = 15. SurfaceArea = 389.711432.
323: It is Parallelepiped: a = 10, b = 11, c = 4. SurfaceArea = 388.000000.
324: It is Parallelepiped: a = 14, b = 12, c = 1. SurfaceArea = 388.000000.
325: It is Parallelepiped: a = 7, b = 15, c = 4. SurfaceArea = 386.000000.
326: It is Parallelepiped: a = 5, b = 19, c = 4. SurfaceArea = 382.000000.
327: It is Parallelepiped: a = 5, b = 4, c = 19. SurfaceArea = 382.000000.
328: It is Parallelepiped: a = 1, b = 15, c = 11. SurfaceArea = 382.000000.
329: It is Parallelepiped: a = 11, b = 1, c = 15. SurfaceArea = 382.000000.
330: It is Parallelepiped: a = 3, b = 15, c = 8. SurfaceArea = 378.000000.
331: It is Parallelepiped: a = 9, b = 6, c = 9. SurfaceArea = 378.000000.
332: It is Parallelepiped: a = 6, b = 16, c = 4. SurfaceArea = 368.000000.
333: It is Parallelepiped: a = 3, b = 9, c = 13. SurfaceArea = 366.000000.
334: It is Parallelepiped: a = 2, b = 15, c = 9. SurfaceArea = 366.000000.
335: It is Parallelepiped: a = 5, b = 7, c = 12. SurfaceArea = 358.000000.
336: It is Parallelepiped: a = 8, b = 1, c = 19. SurfaceArea = 358.000000.
337: It is Parallelepiped: a = 8, b = 12, c = 4. SurfaceArea = 352.000000.
338: It is Parallelepiped: a = 17, b = 6, c = 3. SurfaceArea = 342.000000.
339: It is Parallelepiped: a = 3, b = 9, c = 12. SurfaceArea = 342.000000.
340: It is Parallelepiped: a = 3, b = 12, c = 9. SurfaceArea = 342.000000.
341: It is Parallelepiped: a = 4, b = 13, c = 7. SurfaceArea = 342.000000.
342: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
343: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
344: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
345: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
346: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
347: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
348: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
349: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
350: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
351: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
352: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
353: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
354: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
355: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
356: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
