Sorted container:
Container contains 10000 elements.0: It is Parallelepiped: a = 20, b = 20, c = 20. SurfaceArea = 2400.000000.
98: It is Parallelepiped: a = 20, b = 18, c = 12. SurfaceArea = 1632.000000.
99: It is Parallelepiped: a = 20, b = 12, c = 18. SurfaceArea = 1632.000000.
100: It is Parallelepiped: a = 10, b = 20, c = 20. SurfaceArea = 1600.000000.
101: It is Parallelepiped: a = 10, b = 20, c = 20. SurfaceArea = 1600.000000.
102: It is Parallelepiped: a = 20, b = 10, c = 20. SurfaceArea = 1600.000000.
103: It is Parallelepiped: a = 17, b = 15, c = 17. SurfaceArea = 1598.000000.
104: It is Parallelepiped: a = 18, b = 15, c = 16. SurfaceArea = 1596.000000.
105: It is Parallelepiped: a = 15, b = 18, c = 16. SurfaceArea = 1596.000000.
106: It is Parallelepiped: a = 14, b = 17, c = 18. SurfaceArea = 1592.000000.
107: It is Parallelepiped: a = 14, b = 17, c = 18. SurfaceArea = 1592.000000.
108: It is Parallelepiped: a = 14, b = 17, c = 18. SurfaceArea = 1592.000000.
109: It is Parallelepiped: a = 15, b = 15, c = 19. SurfaceArea = 1590.000000.
110: It is Parallelepiped: a = 15, b = 15, c = 19. SurfaceArea = 1590.000000.
111: It is Parallelepiped: a = 16, b = 19, c = 14. SurfaceArea = 1588.000000.
112: It is Parallelepiped: a = 14, b = 19, c = 16. SurfaceArea = 1588.000000.
113: It is Parallelepiped: a = 18, b = 13, c = 18. SurfaceArea = 1584.000000.
114: It is Parallelepiped: a = 19, b = 13, c = 17. SurfaceArea = 1582.000000.
115: It is Parallelepiped: a = 19, b = 17, c = 13. SurfaceArea = 1582.000000.
116: It is Parallelepiped: a = 14, b = 15, c = 20. SurfaceArea = 1580.000000.
117: It is Parallelepiped: a = 15, b = 14, c = 20. SurfaceArea = 1580.000000.
118: It is Parallelepiped: a = 20, b = 13, c = 16. SurfaceArea = 1576.000000.
119: It is Parallelepiped: a = 13, b = 20, c = 16. SurfaceArea = 1576.000000.
120: It is Parallelepiped: a = 13, b = 16, c = 20. SurfaceArea = 1576.000000.
121: It is Parallelepiped: a = 18, b = 19, c = 12. SurfaceArea = 1572.000000.
122: It is Parallelepiped: a = 12, b = 19, c = 18. SurfaceArea = 1572.000000.
123: It is Parallelepiped: a = 19, b = 12, c = 18. SurfaceArea = 1572.000000.
124: It is Parallelepiped: a = 18, b = 12, c = 19. SurfaceArea = 1572.000000.
125: It is Parallelepiped: a = 18, b = 12, c = 19. SurfaceArea = 1572.000000.
126: It is Parallelepiped: a = 20, b = 12, c = 17. SurfaceArea = 1568.000000.
127: It is Parallelepiped: a = 20, b = 17, c = 12. SurfaceArea = 1568.000000.
128: It is Parallelepiped: a = 12, b = 20, c = 17. SurfaceArea = 1568.000000.
129: It is Parallelepiped: a = 20, b = 12, c = 17. SurfaceArea = 1568.000000.
130: It is Parallelepiped: a = 20, b = 11, c = 18. SurfaceArea = 1556.000000.
131: It is Parallelepiped: a = 18, b = 11, c = 20. SurfaceArea = 1556.000000.
132: It is Parallelepiped: a = 20, b = 18, c = 11. SurfaceArea = 1556.000000.
133: It is Parallelepiped: a = 18, b = 20, c = 11. SurfaceArea = 1556.000000.
134: It is Parallelepiped: a = 18, b = 20, c = 11. SurfaceArea = 1556.000000.
135: It is Parallelepiped: a = 19, b = 10, c = 20. SurfaceArea = 1540.000000.
136: It is Parallelepiped: a = 17, b = 16, c = 15. SurfaceArea = 1534.000000.
137: It is Parallelepiped: a = 15, b = 15, c = 18. SurfaceArea = 1530.000000.
138: It is Parallelepiped: a = 17, b = 17, c = 14. SurfaceArea = 1530.000000.
139: It is Parallelepiped: a = 18, b = 15, c = 15. SurfaceArea = 1530.000000.
140: It is Parallelepiped: a = 18, b = 16, c = 14. SurfaceArea = 1528.000000.
141: It is Parallelepiped: a = 16, b = 14, c = 18. SurfaceArea = 1528.000000.
142: It is Parallelepiped: a = 14, b = 19, c = 15. SurfaceArea = 1522.000000.
143: It is Parallelepiped: a = 19, b = 15, c = 14. SurfaceArea = 1522.000000.
144: It is Parallelepiped: a = 19, b = 14, c = 15. SurfaceArea = 1522.000000.
145: It is Parallelepiped: a = 18, b = 13, c = 17. SurfaceArea = 1522.000000.
146: It is Parallelepiped: a = 18, b = 13, c = 17. SurfaceArea = 1522.000000.
147: It is Parallelepiped: a = 13, b = 18, c = 17. SurfaceArea = 1522.000000.
148: It is Parallelepiped: a = 17, b = 18, c = 13. SurfaceArea = 1522.000000.
149: It is Parallelepiped: a = 13, b = 17, c = 18. SurfaceArea = 1522.000000.
150: It is Parallelepiped: a = 13, b = 19, c = 16. SurfaceArea = 1518.000000.
151: It is Parallelepiped: a = 14, b = 14, c = 20. SurfaceArea = 1512.000000.
152: It is Parallelepiped: a = 18, b = 18, c = 12. SurfaceArea = 1512.000000.
153: It is Parallelepiped: a = 14, b = 14, c = 20. SurfaceArea = 1512.000000.
154: It is Parallelepiped: a = 19, b = 12, c = 17. SurfaceArea = 1510.000000.
155: It is Parallelepiped: a = 13, b = 15, c = 20. SurfaceArea = 1510.000000.
156: It is Parallelepiped: a = 20, b = 13, c = 15. SurfaceArea = 1510.000000.
157: It is Parallelepiped: a = 19, b = 17, c = 12. SurfaceArea = 1510.000000.
158: It is Parallelepiped: a = 17, b = 19, c = 12. SurfaceArea = 1510.000000.
159: It is Parallelepiped: a = 20, b = 12, c = 16. SurfaceArea = 1504.000000.
160: It is Parallelepiped: a = 16, b = 12, c = 20. SurfaceArea = 1504.000000.
161: It is Parallelepiped: a = 20, b = 16, c = 12. SurfaceArea = 1504.000000.
162: It is Parallelepiped: a = 20, b = 16, c = 12. SurfaceArea = 1504.000000.
163: It is Parallelepiped: a = 20, b = 12, c = 16. SurfaceArea = 1504.000000.
164: It is Parallelepiped: a = 12, b = 20, c = 16. SurfaceArea = 1504.000000.
165: It is Parallelepiped: a = 11, b = 19, c = 18. SurfaceArea = 1498.000000.
166: It is Parallelepiped: a = 19, b = 11, c = 18. SurfaceArea = 1498.000000.
167: It is Parallelepiped: a = 17, b = 11, c = 20. SurfaceArea = 1494.000000.
168: It is Parallelepiped: a = 20, b = 11, c = 17. SurfaceArea = 1494.000000.
169: It is Parallelepiped: a = 20, b = 11, c = 17. SurfaceArea = 1494.000000.
170: It is Parallelepiped: a = 20, b = 11, c = 17. SurfaceArea = 1494.000000.
171: It is Parallelepiped: a = 19, b = 10, c = 19. SurfaceArea = 1482.000000.
172: It is Parallelepiped: a = 10, b = 19, c = 19. SurfaceArea = 1482.000000.
173: It is Parallelepiped: a = 10, b = 19, c = 19. SurfaceArea = 1482.000000.
174: It is Parallelepiped: a = 18, b = 10, c = 20. SurfaceArea = 1480.000000.
175: It is Parallelepiped: a = 18, b = 10, c = 20. SurfaceArea = 1480.000000.
176: It is Parallelepiped: a = 18, b = 20, c = 10. SurfaceArea = 1480.000000.
177: It is Parallelepiped: a = 17, b = 15, c = 15. SurfaceArea = 1470.000000.
178: It is Parallelepiped: a = 15, b = 17, c = 15. SurfaceArea = 1470.000000.
179: It is Parallelepiped: a = 15, b = 15, c = 17. SurfaceArea = 1470.000000.
180: It is Parallelepiped: a = 17, b = 15, c = 15. SurfaceArea = 1470.000000.
181: It is Parallelepiped: a = 14, b = 16, c = 17. SurfaceArea = 1468.000000.
182: It is Parallelepiped: a = 14, b = 16, c = 17. SurfaceArea = 1468.000000.
183: It is Parallelepiped: a = 18, b = 14, c = 15. SurfaceArea = 1464.000000.
184: It is Parallelepiped: a = 18, b = 15, c = 14. SurfaceArea = 1464.000000.
185: It is Parallelepiped: a = 20, b = 19, c = 9. SurfaceArea = 1462.000000.
186: It is Parallelepiped: a = 17, b = 17, c = 13. SurfaceArea = 1462.000000.
187: It is Parallelepiped: a = 16, b = 18, c = 13. SurfaceArea = 1460.000000.
188: It is Parallelepiped: a = 19, b = 14, c = 14. SurfaceArea = 1456.000000.
189: It is Parallelepiped: a = 14, b = 14, c = 19. SurfaceArea = 1456.000000.
190: It is Parallelepiped: a = 19, b = 15, c = 13. SurfaceArea = 1454.000000.
191: It is Parallelepiped: a = 15, b = 19, c = 13. SurfaceArea = 1454.000000.
192: It is Parallelepiped: a = 18, b = 12, c = 17. SurfaceArea = 1452.000000.
193: It is Parallelepiped: a = 12, b = 18, c = 17. SurfaceArea = 1452.000000.
194: It is Parallelepiped: a = 12, b = 18, c = 17. SurfaceArea = 1452.000000.
195: It is Parallelepiped: a = 19, b = 12, c = 16. SurfaceArea = 1448.000000.
196: It is Parallelepiped: a = 12, b = 16, c = 19. SurfaceArea = 1448.000000.
197: It is Parallelepiped: a = 12, b = 16, c = 19. SurfaceArea = 1448.000000.
198: It is Parallelepiped: a = 19, b = 16, c = 12. SurfaceArea = 1448.000000.
199: It is Parallelepiped: a = 16, b = 19, c = 12. SurfaceArea = 1448.000000.
200: It is Parallelepiped: a = 16, b = 19, c = 12. SurfaceArea = 1448.000000.
201: It is Parallelepiped: a = 14, b = 20, c = 13. SurfaceArea = 1444.000000.
202: It is Parallelepiped: a = 20, b = 14, c = 13. SurfaceArea = 1444.000000.
203: It is Parallelepiped: a = 18, b = 18, c = 11. SurfaceArea = 1440.000000.
204: It is Parallelepiped: a = 18, b = 18, c = 11. SurfaceArea = 1440.000000.
205: It is Parallelepiped: a = 20, b = 12, c = 15. SurfaceArea = 1440.000000.
206: It is Parallelepiped: a = 20, b = 8, c = 20. SurfaceArea = 1440.000000.
207: It is Parallelepiped: a = 20, b = 8, c = 20. SurfaceArea = 1440.000000.
208: It is Parallelepiped: a = 17, b = 19, c = 11. SurfaceArea = 1438.000000.
209: It is Parallelepiped: a = 16, b = 20, c = 11. SurfaceArea = 1432.000000.
210: It is Parallelepiped: a = 20, b = 11, c = 16. SurfaceArea = 1432.000000.
211: It is Parallelepiped: a = 20, b = 11, c = 16. SurfaceArea = 1432.000000.
212: It is Parallelepiped: a = 11, b = 16, c = 20. SurfaceArea = 1432.000000.
213: It is Parallelepiped: a = 16, b = 11, c = 20. SurfaceArea = 1432.000000.
214: It is Parallelepiped: a = 19, b = 10, c = 18. SurfaceArea = 1424.000000.
215: It is Parallelepiped: a = 17, b = 20, c = 10. SurfaceArea = 1420.000000.
216: It is Parallelepiped: a = 20, b = 10, c = 17. SurfaceArea = 1420.000000.
217: It is Parallelepiped: a = 17, b = 10, c = 20. SurfaceArea = 1420.000000.
218: It is Parallelepiped: a = 17, b = 10, c = 20. SurfaceArea = 1420.000000.
219: It is Parallelepiped: a = 17, b = 10, c = 20. SurfaceArea = 1420.000000.
220: It is Parallelepiped: a = 15, b = 15, c = 16. SurfaceArea = 1410.000000.
221: It is Parallelepiped: a = 15, b = 16, c = 15. SurfaceArea = 1410.000000.
222: It is Parallelepiped: a = 19, b = 19, c = 9. SurfaceArea = 1406.000000.
223: It is Parallelepiped: a = 14, b = 15, c = 17. SurfaceArea = 1406.000000.
224: It is Parallelepiped: a = 14, b = 15, c = 17. SurfaceArea = 1406.000000.
225: It is Parallelepiped: a = 17, b = 15, c = 14. SurfaceArea = 1406.000000.
226: It is Parallelepiped: a = 19, b = 9, c = 19. SurfaceArea = 1406.000000.
227: It is Parallelepiped: a = 9, b = 20, c = 18. SurfaceArea = 1404.000000.
228: It is Parallelepiped: a = 9, b = 20, c = 18. SurfaceArea = 1404.000000.
229: It is Parallelepiped: a = 9, b = 20, c = 18. SurfaceArea = 1404.000000.
230: It is Parallelepiped: a = 20, b = 18, c = 9. SurfaceArea = 1404.000000.
231: It is Parallelepiped: a = 13, b = 17, c = 16. SurfaceArea = 1402.000000.
232: It is Parallelepiped: a = 16, b = 17, c = 13. SurfaceArea = 1402.000000.
233: It is Parallelepiped: a = 13, b = 17, c = 16. SurfaceArea = 1402.000000.
234: It is Parallelepiped: a = 16, b = 17, c = 13. SurfaceArea = 1402.000000.
235: It is Parallelepiped: a = 13, b = 17, c = 16. SurfaceArea = 1402.000000.
236: It is Parallelepiped: a = 18, b = 14, c = 14. SurfaceArea = 1400.000000.
237: It is Parallelepiped: a = 14, b = 14, c = 18. SurfaceArea = 1400.000000.
238: It is Parallelepiped: a = 13, b = 18, c = 15. SurfaceArea = 1398.000000.
239: It is Parallelepiped: a = 15, b = 18, c = 13. SurfaceArea = 1398.000000.
240: It is Parallelepiped: a = 18, b = 15, c = 13. SurfaceArea = 1398.000000.
241: It is Parallelepiped: a = 12, b = 17, c = 17. SurfaceArea = 1394.000000.
242: It is Parallelepiped: a = 16, b = 12, c = 18. SurfaceArea = 1392.000000.
243: It is Parallelepiped: a = 12, b = 16, c = 18. SurfaceArea = 1392.000000.
244: It is Parallelepiped: a = 18, b = 16, c = 12. SurfaceArea = 1392.000000.
245: It is Parallelepiped: a = 13, b = 14, c = 19. SurfaceArea = 1390.000000.
246: It is Parallelepiped: a = 19, b = 13, c = 14. SurfaceArea = 1390.000000.
247: It is Parallelepiped: a = 13, b = 14, c = 19. SurfaceArea = 1390.000000.
248: It is Parallelepiped: a = 12, b = 19, c = 15. SurfaceArea = 1386.000000.
249: It is Parallelepiped: a = 12, b = 19, c = 15. SurfaceArea = 1386.000000.
250: It is Parallelepiped: a = 12, b = 19, c = 15. SurfaceArea = 1386.000000.
251: It is Parallelepiped: a = 12, b = 19, c = 15. SurfaceArea = 1386.000000.
252: It is Parallelepiped: a = 19, b = 12, c = 15. SurfaceArea = 1386.000000.
253: It is Parallelepiped: a = 19, b = 8, c = 20. SurfaceArea = 1384.000000.
254: It is Parallelepiped: a = 8, b = 20, c = 19. SurfaceArea = 1384.000000.
255: It is Parallelepiped: a = 8, b = 20, c = 19. SurfaceArea = 1384.000000.
256: It is Parallelepiped: a = 17, b = 18, c = 11. SurfaceArea = 1382.000000.
257: It is Parallelepiped: a = 19, b = 16, c = 11. SurfaceArea = 1378.000000.
258: It is Parallelepiped: a = 19, b = 16, c = 11. SurfaceArea = 1378.000000.
259: It is Parallelepiped: a = 16, b = 11, c = 19. SurfaceArea = 1378.000000.
260: It is Parallelepiped: a = 16, b = 19, c = 11. SurfaceArea = 1378.000000.
261: It is Parallelepiped: a = 11, b = 16, c = 19. SurfaceArea = 1378.000000.
262: It is Parallelepiped: a = 11, b = 16, c = 19. SurfaceArea = 1378.000000.
263: It is Parallelepiped: a = 20, b = 14, c = 12. SurfaceArea = 1376.000000.
264: It is Parallelepiped: a = 14, b = 12, c = 20. SurfaceArea = 1376.000000.
265: It is Parallelepiped: a = 14, b = 20, c = 12. SurfaceArea = 1376.000000.
266: It is Parallelepiped: a = 11, b = 20, c = 15. SurfaceArea = 1370.000000.
267: It is Parallelepiped: a = 10, b = 18, c = 18. SurfaceArea = 1368.000000.
268: It is Parallelepiped: a = 10, b = 16, c = 20. SurfaceArea = 1360.000000.
269: It is Parallelepiped: a = 10, b = 20, c = 16. SurfaceArea = 1360.000000.
270: It is Parallelepiped: a = 18, b = 19, c = 9. SurfaceArea = 1350.000000.
271: It is Parallelepiped: a = 18, b = 9, c = 19. SurfaceArea = 1350.000000.
272: It is Parallelepiped: a = 18, b = 19, c = 9. SurfaceArea = 1350.000000.
273: It is Parallelepiped: a = 15, b = 14, c = 16. SurfaceArea = 1348.000000.
274: It is Parallelepiped: a = 20, b = 17, c = 9. SurfaceArea = 1346.000000.
275: It is Parallelepiped: a = 20, b = 17, c = 9. SurfaceArea = 1346.000000.
276: It is Parallelepiped: a = 20, b = 9, c = 17. SurfaceArea = 1346.000000.
277: It is Parallelepiped: a = 16, b = 16, c = 13. SurfaceArea = 1344.000000.
278: It is Parallelepiped: a = 17, b = 14, c = 14. SurfaceArea = 1344.000000.
279: It is Parallelepiped: a = 14, b = 14, c = 17. SurfaceArea = 1344.000000.
280: It is Parallelepiped: a = 16, b = 16, c = 13. SurfaceArea = 1344.000000.
281: It is Parallelepiped: a = 15, b = 13, c = 17. SurfaceArea = 1342.000000.
282: It is Parallelepiped: a = 13, b = 17, c = 15. SurfaceArea = 1342.000000.
283: It is Parallelepiped: a = 13, b = 17, c = 15. SurfaceArea = 1342.000000.
284: It is Parallelepiped: a = 17, b = 13, c = 15. SurfaceArea = 1342.000000.
285: It is Parallelepiped: a = 17, b = 13, c = 15. SurfaceArea = 1342.000000.
286: It is Parallelepiped: a = 16, b = 17, c = 12. SurfaceArea = 1336.000000.
287: It is Parallelepiped: a = 16, b = 12, c = 17. SurfaceArea = 1336.000000.
288: It is Parallelepiped: a = 12, b = 16, c = 17. SurfaceArea = 1336.000000.
289: It is Parallelepiped: a = 8, b = 19, c = 19. SurfaceArea = 1330.000000.
290: It is Parallelepiped: a = 20, b = 8, c = 18. SurfaceArea = 1328.000000.
291: It is Parallelepiped: a = 18, b = 20, c = 8. SurfaceArea = 1328.000000.
292: It is Parallelepiped: a = 18, b = 20, c = 8. SurfaceArea = 1328.000000.
293: It is Parallelepiped: a = 18, b = 8, c = 20. SurfaceArea = 1328.000000.
294: It is Parallelepiped: a = 8, b = 18, c = 20. SurfaceArea = 1328.000000.
295: It is Parallelepiped: a = 20, b = 8, c = 18. SurfaceArea = 1328.000000.
296: It is Parallelepiped: a = 17, b = 17, c = 11. SurfaceArea = 1326.000000.
297: It is Parallelepiped: a = 13, b = 13, c = 19. SurfaceArea = 1326.000000.
298: It is Parallelepiped: a = 11, b = 17, c = 17. SurfaceArea = 1326.000000.
299: It is Parallelepiped: a = 17, b = 17, c = 11. SurfaceArea = 1326.000000.
300: It is Parallelepiped: a = 13, b = 19, c = 13. SurfaceArea = 1326.000000.
301: It is Parallelepiped: a = 13, b = 19, c = 13. SurfaceArea = 1326.000000.
302: It is Parallelepiped: a = 19, b = 12, c = 14. SurfaceArea = 1324.000000.
303: It is Parallelepiped: a = 14, b = 12, c = 19. SurfaceArea = 1324.000000.
304: It is Parallelepiped: a = 19, b = 14, c = 12. SurfaceArea = 1324.000000.
305: It is Parallelepiped: a = 19, b = 12, c = 14. SurfaceArea = 1324.000000.
306: It is Parallelepiped: a = 16, b = 18, c = 11. SurfaceArea = 1324.000000.
307: It is Parallelepiped: a = 18, b = 16, c = 11. SurfaceArea = 1324.000000.
308: It is Parallelepiped: a = 11, b = 19, c = 15. SurfaceArea = 1318.000000.
309: It is Parallelepiped: a = 19, b = 11, c = 15. SurfaceArea = 1318.000000.
310: It is Parallelepiped: a = 15, b = 11, c = 19. SurfaceArea = 1318.000000.
311: It is Parallelepiped: a = 12, b = 13, c = 20. SurfaceArea = 1312.000000.
312: It is Parallelepiped: a = 13, b = 20, c = 12. SurfaceArea = 1312.000000.
313: It is Parallelepiped: a = 13, b = 20, c = 12. SurfaceArea = 1312.000000.
314: It is Parallelepiped: a = 18, b = 17, c = 10. SurfaceArea = 1312.000000.
315: It is Parallelepiped: a = 16, b = 10, c = 19. SurfaceArea = 1308.000000.
316: It is Parallelepiped: a = 10, b = 19, c = 16. SurfaceArea = 1308.000000.
317: It is Parallelepiped: a = 14, b = 20, c = 11. SurfaceArea = 1308.000000.
318: It is Parallelepiped: a = 11, b = 20, c = 14. SurfaceArea = 1308.000000.
319: It is Parallelepiped: a = 11, b = 14, c = 20. SurfaceArea = 1308.000000.
320: It is Parallelepiped: a = 10, b = 16, c = 19. SurfaceArea = 1308.000000.
321: It is Parallelepiped: a = 20, b = 14, c = 11. SurfaceArea = 1308.000000.
322: It is Parallelepiped: a = 19, b = 7, c = 20. SurfaceArea = 1306.000000.
