Container contains 10000 elements:
1: It is a parallelepiped, a = 20, b = 20, c = 19, density = 19.765, surface area = 2320.0
42: It is a parallelepiped, a = 20, b = 19, c = 14, density = 13.051, surface area = 1852.0
43: It is a parallelepiped, a = 14, b = 19, c = 20, density = 7.354, surface area = 1852.0
44: It is a parallelepiped, a = 13, b = 20, c = 20, density = 1.445, surface area = 1840.0
45: It is a parallelepiped, a = 13, b = 20, c = 20, density = 12.004, surface area = 1840.0
46: It is a parallelepiped, a = 20, b = 13, c = 20, density = 14.471, surface area = 1840.0
47: It is a parallelepiped, a = 13, b = 20, c = 20, density = 9.747, surface area = 1840.0
48: It is a parallelepiped, a = 16, b = 18, c = 18, density = 1.34, surface area = 1800.0
49: It is a parallelepiped, a = 16, b = 17, c = 19, density = 16.429, surface area = 1798.0
50: It is a parallelepiped, a = 16, b = 19, c = 17, density = 8.166, surface area = 1798.0
51: It is a parallelepiped, a = 18, b = 15, c = 19, density = 0.684, surface area = 1794.0
52: It is a parallelepiped, a = 19, b = 15, c = 18, density = 11.226, surface area = 1794.0
53: It is a parallelepiped, a = 18, b = 19, c = 15, density = 0.429, surface area = 1794.0
54: It is a parallelepiped, a = 18, b = 15, c = 19, density = 4.33, surface area = 1794.0
55: It is a parallelepiped, a = 15, b = 19, c = 18, density = 18.285, surface area = 1794.0
56: It is a parallelepiped, a = 18, b = 15, c = 19, density = 19.814, surface area = 1794.0
57: It is a parallelepiped, a = 17, b = 20, c = 15, density = 17.919, surface area = 1790.0
58: It is a parallelepiped, a = 17, b = 20, c = 15, density = 3.961, surface area = 1790.0
59: It is a parallelepiped, a = 18, b = 14, c = 20, density = 8.2, surface area = 1784.0
60: It is a parallelepiped, a = 18, b = 20, c = 14, density = 13.999, surface area = 1784.0
61: It is a parallelepiped, a = 20, b = 14, c = 18, density = 8.64, surface area = 1784.0
62: It is a parallelepiped, a = 20, b = 18, c = 14, density = 1.201, surface area = 1784.0
63: It is a parallelepiped, a = 20, b = 13, c = 19, density = 4.595, surface area = 1774.0
64: It is a parallelepiped, a = 20, b = 13, c = 19, density = 13.155, surface area = 1774.0
65: It is a parallelepiped, a = 19, b = 20, c = 13, density = 15.966, surface area = 1774.0
66: It is a parallelepiped, a = 12, b = 20, c = 20, density = 13.912, surface area = 1760.0
67: It is a parallelepiped, a = 16, b = 18, c = 17, density = 14.117, surface area = 1732.0
68: It is a parallelepiped, a = 18, b = 19, c = 14, density = 9.916, surface area = 1720.0
69: It is a parallelepiped, a = 14, b = 19, c = 18, density = 14.865, surface area = 1720.0
70: It is a parallelepiped, a = 19, b = 14, c = 18, density = 12.511, surface area = 1720.0
71: It is a parallelepiped, a = 20, b = 17, c = 14, density = 15.48, surface area = 1716.0
72: It is a parallelepiped, a = 19, b = 13, c = 19, density = 7.516, surface area = 1710.0
73: It is a parallelepiped, a = 20, b = 13, c = 18, density = 0.405, surface area = 1708.0
74: It is a parallelepiped, a = 18, b = 13, c = 20, density = 0.735, surface area = 1708.0
75: It is a parallelepiped, a = 18, b = 13, c = 20, density = 3.466, surface area = 1708.0
76: It is a parallelepiped, a = 13, b = 18, c = 20, density = 18.609, surface area = 1708.0
77: It is a parallelepiped, a = 18, b = 13, c = 20, density = 14.25, surface area = 1708.0
78: It is a parallelepiped, a = 20, b = 19, c = 12, density = 3.313, surface area = 1696.0
79: It is a parallelepiped, a = 20, b = 19, c = 12, density = 17.852, surface area = 1696.0
80: It is a parallelepiped, a = 20, b = 19, c = 12, density = 12.388, surface area = 1696.0
81: It is a parallelepiped, a = 12, b = 19, c = 20, density = 14.008, surface area = 1696.0
82: It is a parallelepiped, a = 20, b = 19, c = 12, density = 3.259, surface area = 1696.0
83: It is a parallelepiped, a = 12, b = 19, c = 20, density = 14.81, surface area = 1696.0
84: It is a parallelepiped, a = 20, b = 12, c = 19, density = 12.397, surface area = 1696.0
85: It is a parallelepiped, a = 12, b = 20, c = 19, density = 18.635, surface area = 1696.0
86: It is a parallelepiped, a = 20, b = 20, c = 11, density = 16.465, surface area = 1680.0
87: It is a parallelepiped, a = 20, b = 11, c = 20, density = 3.604, surface area = 1680.0
88: It is a parallelepiped, a = 11, b = 20, c = 20, density = 8.36, surface area = 1680.0
89: It is a parallelepiped, a = 17, b = 16, c = 17, density = 18.597, surface area = 1666.0
90: It is a parallelepiped, a = 18, b = 16, c = 16, density = 13.925, surface area = 1664.0
91: It is a parallelepiped, a = 15, b = 18, c = 17, density = 16.256, surface area = 1662.0
92: It is a parallelepiped, a = 16, b = 19, c = 15, density = 18.477, surface area = 1658.0
93: It is a parallelepiped, a = 15, b = 16, c = 19, density = 3.603, surface area = 1658.0
94: It is a parallelepiped, a = 18, b = 18, c = 14, density = 6.04, surface area = 1656.0
95: It is a parallelepiped, a = 18, b = 18, c = 14, density = 1.489, surface area = 1656.0
96: It is a parallelepiped, a = 17, b = 14, c = 19, density = 2.709, surface area = 1654.0
97: It is a parallelepiped, a = 14, b = 17, c = 19, density = 8.611, surface area = 1654.0
98: It is a parallelepiped, a = 17, b = 19, c = 14, density = 8.013, surface area = 1654.0
99: It is a parallelepiped, a = 20, b = 15, c = 15, density = 1.378, surface area = 1650.0
100: It is a parallelepiped, a = 15, b = 15, c = 20, density = 15.463, surface area = 1650.0
101: It is a parallelepiped, a = 15, b = 20, c = 15, density = 16.42, surface area = 1650.0
102: It is a parallelepiped, a = 14, b = 20, c = 16, density = 3.742, surface area = 1648.0
103: It is a parallelepiped, a = 16, b = 20, c = 14, density = 13.836, surface area = 1648.0
104: It is a parallelepiped, a = 20, b = 14, c = 16, density = 5.211, surface area = 1648.0
105: It is a parallelepiped, a = 19, b = 18, c = 13, density = 0.339, surface area = 1646.0
106: It is a parallelepiped, a = 18, b = 13, c = 19, density = 6.345, surface area = 1646.0
107: It is a parallelepiped, a = 18, b = 13, c = 19, density = 13.023, surface area = 1646.0
108: It is a parallelepiped, a = 20, b = 13, c = 17, density = 3.479, surface area = 1642.0
109: It is a parallelepiped, a = 20, b = 17, c = 13, density = 11.361, surface area = 1642.0
110: It is a parallelepiped, a = 12, b = 19, c = 19, density = 14.757, surface area = 1634.0
111: It is a parallelepiped, a = 19, b = 12, c = 19, density = 1.961, surface area = 1634.0
112: It is a parallelepiped, a = 19, b = 12, c = 19, density = 18.497, surface area = 1634.0
113: It is a parallelepiped, a = 11, b = 19, c = 20, density = 12.016, surface area = 1618.0
114: It is a parallelepiped, a = 19, b = 11, c = 20, density = 5.037, surface area = 1618.0
115: It is a parallelepiped, a = 11, b = 20, c = 19, density = 18.818, surface area = 1618.0
116: It is a parallelepiped, a = 19, b = 11, c = 20, density = 17.244, surface area = 1618.0
117: It is a parallelepiped, a = 20, b = 10, c = 20, density = 0.515, surface area = 1600.0
118: It is a parallelepiped, a = 16, b = 16, c = 17, density = 3.851, surface area = 1600.0
119: It is a parallelepiped, a = 20, b = 20, c = 10, density = 19.679, surface area = 1600.0
120: It is a parallelepiped, a = 18, b = 15, c = 16, density = 6.229, surface area = 1596.0
121: It is a parallelepiped, a = 18, b = 15, c = 16, density = 18.665, surface area = 1596.0
122: It is a parallelepiped, a = 16, b = 18, c = 15, density = 9.386, surface area = 1596.0
123: It is a parallelepiped, a = 15, b = 16, c = 18, density = 18.827, surface area = 1596.0
124: It is a parallelepiped, a = 15, b = 18, c = 16, density = 12.319, surface area = 1596.0
125: It is a parallelepiped, a = 15, b = 18, c = 16, density = 9.02, surface area = 1596.0
126: It is a parallelepiped, a = 18, b = 14, c = 17, density = 13.996, surface area = 1592.0
127: It is a parallelepiped, a = 18, b = 14, c = 17, density = 10.372, surface area = 1592.0
128: It is a parallelepiped, a = 14, b = 17, c = 18, density = 7.988, surface area = 1592.0
129: It is a parallelepiped, a = 15, b = 19, c = 15, density = 10.561, surface area = 1590.0
130: It is a parallelepiped, a = 15, b = 19, c = 15, density = 3.872, surface area = 1590.0
131: It is a parallelepiped, a = 19, b = 14, c = 16, density = 3.707, surface area = 1588.0
132: It is a parallelepiped, a = 19, b = 14, c = 16, density = 1.623, surface area = 1588.0
133: It is a parallelepiped, a = 16, b = 14, c = 19, density = 1.779, surface area = 1588.0
134: It is a parallelepiped, a = 19, b = 16, c = 14, density = 16.766, surface area = 1588.0
135: It is a parallelepiped, a = 16, b = 14, c = 19, density = 13.499, surface area = 1588.0
136: It is a parallelepiped, a = 16, b = 19, c = 14, density = 4.461, surface area = 1588.0
137: It is a parallelepiped, a = 16, b = 14, c = 19, density = 7.019, surface area = 1588.0
138: It is a parallelepiped, a = 13, b = 19, c = 17, density = 11.331, surface area = 1582.0
139: It is a parallelepiped, a = 15, b = 14, c = 20, density = 5.808, surface area = 1580.0
140: It is a parallelepiped, a = 16, b = 13, c = 20, density = 19.534, surface area = 1576.0
141: It is a parallelepiped, a = 13, b = 16, c = 20, density = 14.711, surface area = 1576.0
142: It is a parallelepiped, a = 16, b = 13, c = 20, density = 14.259, surface area = 1576.0
143: It is a parallelepiped, a = 18, b = 19, c = 12, density = 2.666, surface area = 1572.0
144: It is a parallelepiped, a = 17, b = 12, c = 20, density = 4.526, surface area = 1568.0
145: It is a parallelepiped, a = 11, b = 20, c = 18, density = 9.842, surface area = 1556.0
146: It is a parallelepiped, a = 11, b = 18, c = 20, density = 1.726, surface area = 1556.0
147: It is a parallelepiped, a = 10, b = 19, c = 20, density = 15.202, surface area = 1540.0
148: It is a parallelepiped, a = 20, b = 19, c = 10, density = 19.269, surface area = 1540.0
149: It is a parallelepiped, a = 20, b = 10, c = 19, density = 1.085, surface area = 1540.0
150: It is a parallelepiped, a = 16, b = 16, c = 16, density = 2.821, surface area = 1536.0
151: It is a parallelepiped, a = 16, b = 16, c = 16, density = 13.039, surface area = 1536.0
152: It is a parallelepiped, a = 16, b = 16, c = 16, density = 16.897, surface area = 1536.0
153: It is a parallelepiped, a = 16, b = 17, c = 15, density = 0.934, surface area = 1534.0
154: It is a parallelepiped, a = 17, b = 16, c = 15, density = 17.985, surface area = 1534.0
155: It is a parallelepiped, a = 17, b = 17, c = 14, density = 9.766, surface area = 1530.0
156: It is a parallelepiped, a = 14, b = 17, c = 17, density = 18.712, surface area = 1530.0
157: It is a parallelepiped, a = 18, b = 15, c = 15, density = 12.593, surface area = 1530.0
158: It is a parallelepiped, a = 17, b = 17, c = 14, density = 5.227, surface area = 1530.0
159: It is a parallelepiped, a = 16, b = 14, c = 18, density = 3.155, surface area = 1528.0
160: It is a parallelepiped, a = 18, b = 14, c = 16, density = 8.627, surface area = 1528.0
161: It is a parallelepiped, a = 14, b = 18, c = 16, density = 5.827, surface area = 1528.0
162: It is a parallelepiped, a = 13, b = 18, c = 17, density = 18.081, surface area = 1522.0
163: It is a parallelepiped, a = 19, b = 15, c = 14, density = 15.291, surface area = 1522.0
164: It is a parallelepiped, a = 15, b = 14, c = 19, density = 8.947, surface area = 1522.0
165: It is a parallelepiped, a = 17, b = 18, c = 13, density = 6.359, surface area = 1522.0
166: It is a parallelepiped, a = 13, b = 18, c = 17, density = 2.862, surface area = 1522.0
167: It is a parallelepiped, a = 9, b = 20, c = 20, density = 9.664, surface area = 1520.0
168: It is a parallelepiped, a = 20, b = 20, c = 9, density = 3.834, surface area = 1520.0
169: It is a parallelepiped, a = 13, b = 16, c = 19, density = 8.981, surface area = 1518.0
170: It is a parallelepiped, a = 18, b = 12, c = 18, density = 12.204, surface area = 1512.0
171: It is a parallelepiped, a = 20, b = 15, c = 13, density = 4.36, surface area = 1510.0
172: It is a parallelepiped, a = 15, b = 13, c = 20, density = 12.475, surface area = 1510.0
173: It is a parallelepiped, a = 17, b = 12, c = 19, density = 16.185, surface area = 1510.0
174: It is a parallelepiped, a = 12, b = 17, c = 19, density = 12.899, surface area = 1510.0
175: It is a parallelepiped, a = 12, b = 17, c = 19, density = 1.61, surface area = 1510.0
176: It is a parallelepiped, a = 20, b = 16, c = 12, density = 15.074, surface area = 1504.0
177: It is a parallelepiped, a = 16, b = 20, c = 12, density = 4.047, surface area = 1504.0
178: It is a parallelepiped, a = 18, b = 11, c = 19, density = 12.223, surface area = 1498.0
179: It is a parallelepiped, a = 19, b = 18, c = 11, density = 7.64, surface area = 1498.0
180: It is a parallelepiped, a = 18, b = 19, c = 11, density = 14.716, surface area = 1498.0
181: It is a parallelepiped, a = 18, b = 19, c = 11, density = 2.9, surface area = 1498.0
182: It is a parallelepiped, a = 17, b = 20, c = 11, density = 7.949, surface area = 1494.0
183: It is a parallelepiped, a = 11, b = 20, c = 17, density = 1.188, surface area = 1494.0
184: It is a parallelepiped, a = 19, b = 19, c = 10, density = 0.651, surface area = 1482.0
185: It is a parallelepiped, a = 10, b = 20, c = 18, density = 11.26, surface area = 1480.0
186: It is a parallelepiped, a = 10, b = 20, c = 18, density = 13.493, surface area = 1480.0
187: It is a parallelepiped, a = 10, b = 20, c = 18, density = 1.716, surface area = 1480.0
188: It is a parallelepiped, a = 16, b = 15, c = 16, density = 17.354, surface area = 1472.0
189: It is a parallelepiped, a = 16, b = 16, c = 15, density = 11.809, surface area = 1472.0
190: It is a parallelepiped, a = 15, b = 15, c = 17, density = 7.429, surface area = 1470.0
191: It is a parallelepiped, a = 14, b = 16, c = 17, density = 4.115, surface area = 1468.0
192: It is a parallelepiped, a = 14, b = 16, c = 17, density = 9.073, surface area = 1468.0
193: It is a parallelepiped, a = 18, b = 15, c = 14, density = 16.354, surface area = 1464.0
194: It is a parallelepiped, a = 18, b = 14, c = 15, density = 13.848, surface area = 1464.0
195: It is a parallelepiped, a = 15, b = 14, c = 18, density = 10.422, surface area = 1464.0
196: It is a parallelepiped, a = 15, b = 14, c = 18, density = 0.411, surface area = 1464.0
197: It is a parallelepiped, a = 17, b = 17, c = 13, density = 3.919, surface area = 1462.0
198: It is a parallelepiped, a = 9, b = 19, c = 20, density = 19.798, surface area = 1462.0
199: It is a parallelepiped, a = 17, b = 17, c = 13, density = 15.098, surface area = 1462.0
200: It is a parallelepiped, a = 19, b = 9, c = 20, density = 7.403, surface area = 1462.0
201: It is a parallelepiped, a = 16, b = 18, c = 13, density = 8.779, surface area = 1460.0
202: It is a parallelepiped, a = 19, b = 14, c = 14, density = 4.745, surface area = 1456.0
203: It is a parallelepiped, a = 14, b = 14, c = 19, density = 19.98, surface area = 1456.0
204: It is a parallelepiped, a = 19, b = 14, c = 14, density = 7.632, surface area = 1456.0
205: It is a parallelepiped, a = 14, b = 14, c = 19, density = 2.375, surface area = 1456.0
206: It is a parallelepiped, a = 19, b = 13, c = 15, density = 8.605, surface area = 1454.0
207: It is a parallelepiped, a = 19, b = 13, c = 15, density = 4.226, surface area = 1454.0
208: It is a parallelepiped, a = 13, b = 19, c = 15, density = 13.32, surface area = 1454.0
209: It is a parallelepiped, a = 13, b = 19, c = 15, density = 18.511, surface area = 1454.0
210: It is a parallelepiped, a = 18, b = 12, c = 17, density = 14.176, surface area = 1452.0
211: It is a parallelepiped, a = 17, b = 18, c = 12, density = 13.167, surface area = 1452.0
212: It is a parallelepiped, a = 12, b = 17, c = 18, density = 11.902, surface area = 1452.0
213: It is a parallelepiped, a = 16, b = 19, c = 12, density = 13.439, surface area = 1448.0
214: It is a parallelepiped, a = 19, b = 12, c = 16, density = 11.126, surface area = 1448.0
215: It is a parallelepiped, a = 19, b = 16, c = 12, density = 6.133, surface area = 1448.0
216: It is a parallelepiped, a = 16, b = 19, c = 12, density = 1.333, surface area = 1448.0
217: It is a parallelepiped, a = 13, b = 14, c = 20, density = 6.76, surface area = 1444.0
218: It is a parallelepiped, a = 20, b = 13, c = 14, density = 19.504, surface area = 1444.0
219: It is a parallelepiped, a = 14, b = 20, c = 13, density = 4.182, surface area = 1444.0
220: It is a parallelepiped, a = 20, b = 8, c = 20, density = 2.514, surface area = 1440.0
221: It is a parallelepiped, a = 11, b = 18, c = 18, density = 15.265, surface area = 1440.0
222: It is a parallelepiped, a = 11, b = 18, c = 18, density = 4.406, surface area = 1440.0
223: It is a parallelepiped, a = 20, b = 8, c = 20, density = 13.32, surface area = 1440.0
224: It is a parallelepiped, a = 19, b = 17, c = 11, density = 9.916, surface area = 1438.0
225: It is a parallelepiped, a = 19, b = 11, c = 17, density = 19.074, surface area = 1438.0
226: It is a parallelepiped, a = 19, b = 11, c = 17, density = 17.552, surface area = 1438.0
227: It is a parallelepiped, a = 11, b = 19, c = 17, density = 9.306, surface area = 1438.0
228: It is a parallelepiped, a = 16, b = 11, c = 20, density = 9.677, surface area = 1432.0
229: It is a parallelepiped, a = 10, b = 19, c = 18, density = 11.25, surface area = 1424.0
230: It is a parallelepiped, a = 10, b = 17, c = 20, density = 6.332, surface area = 1420.0
231: It is a parallelepiped, a = 15, b = 16, c = 15, density = 4.033, surface area = 1410.0
232: It is a parallelepiped, a = 15, b = 17, c = 14, density = 1.089, surface area = 1406.0
233: It is a parallelepiped, a = 9, b = 19, c = 19, density = 15.295, surface area = 1406.0
234: It is a parallelepiped, a = 14, b = 17, c = 15, density = 14.446, surface area = 1406.0
235: It is a parallelepiped, a = 17, b = 14, c = 15, density = 13.602, surface area = 1406.0
236: It is a parallelepiped, a = 19, b = 9, c = 19, density = 7.673, surface area = 1406.0
237: It is a parallelepiped, a = 18, b = 20, c = 9, density = 0.65, surface area = 1404.0
238: It is a parallelepiped, a = 18, b = 9, c = 20, density = 1.758, surface area = 1404.0
239: It is a parallelepiped, a = 13, b = 16, c = 17, density = 12.749, surface area = 1402.0
240: It is a parallelepiped, a = 17, b = 16, c = 13, density = 17.166, surface area = 1402.0
241: It is a parallelepiped, a = 18, b = 14, c = 14, density = 14.015, surface area = 1400.0
242: It is a parallelepiped, a = 18, b = 14, c = 14, density = 0.71, surface area = 1400.0
243: It is a parallelepiped, a = 18, b = 13, c = 15, density = 16.443, surface area = 1398.0
244: It is a parallelepiped, a = 15, b = 13, c = 18, density = 9.872, surface area = 1398.0
245: It is a parallelepiped, a = 17, b = 17, c = 12, density = 12.101, surface area = 1394.0
246: It is a parallelepiped, a = 19, b = 14, c = 13, density = 4.392, surface area = 1390.0
247: It is a parallelepiped, a = 19, b = 12, c = 15, density = 7.622, surface area = 1386.0
248: It is a parallelepiped, a = 19, b = 12, c = 15, density = 5.007, surface area = 1386.0
249: It is a parallelepiped, a = 20, b = 8, c = 19, density = 15.261, surface area = 1384.0
250: It is a parallelepiped, a = 19, b = 8, c = 20, density = 11.298, surface area = 1384.0
251: It is a parallelepiped, a = 20, b = 19, c = 8, density = 13.849, surface area = 1384.0
252: It is a parallelepiped, a = 11, b = 17, c = 18, density = 8.277, surface area = 1382.0
253: It is a parallelepiped, a = 18, b = 17, c = 11, density = 17.291, surface area = 1382.0
254: It is a parallelepiped, a = 16, b = 19, c = 11, density = 9.682, surface area = 1378.0
255: It is a parallelepiped, a = 11, b = 19, c = 16, density = 14.141, surface area = 1378.0
256: It is a parallelepiped, a = 13, b = 20, c = 13, density = 9.449, surface area = 1378.0
257: It is a parallelepiped, a = 11, b = 20, c = 15, density = 10.23, surface area = 1370.0
258: It is a parallelepiped, a = 20, b = 15, c = 11, density = 16.436, surface area = 1370.0
259: It is a parallelepiped, a = 18, b = 10, c = 18, density = 0.238, surface area = 1368.0
260: It is a parallelepiped, a = 10, b = 18, c = 18, density = 18.008, surface area = 1368.0
261: It is a parallelepiped, a = 10, b = 18, c = 18, density = 12.282, surface area = 1368.0
262: It is a parallelepiped, a = 19, b = 10, c = 17, density = 3.32, surface area = 1366.0
263: It is a parallelepiped, a = 17, b = 10, c = 19, density = 7.732, surface area = 1366.0
264: It is a parallelepiped, a = 20, b = 10, c = 16, density = 8.754, surface area = 1360.0
265: It is a parallelepiped, a = 20, b = 7, c = 20, density = 4.785, surface area = 1360.0
266: It is a parallelepiped, a = 10, b = 20, c = 16, density = 9.167, surface area = 1360.0
267: It is a parallelepiped, a = 20, b = 16, c = 10, density = 19.388, surface area = 1360.0
268: It is a parallelepiped, a = 10, b = 20, c = 16, density = 14.598, surface area = 1360.0
269: It is a parallelepiped, a = 15, b = 15, c = 15, density = 13.935, surface area = 1350.0
270: It is a parallelepiped, a = 15, b = 15, c = 15, density = 11.97, surface area = 1350.0
271: It is a parallelepiped, a = 19, b = 9, c = 18, density = 9.843, surface area = 1350.0
272: It is a parallelepiped, a = 19, b = 9, c = 18, density = 5.546, surface area = 1350.0
273: It is a parallelepiped, a = 19, b = 18, c = 9, density = 10.544, surface area = 1350.0
274: It is a parallelepiped, a = 19, b = 9, c = 18, density = 11.561, surface area = 1350.0
275: It is a parallelepiped, a = 18, b = 9, c = 19, density = 17.336, surface area = 1350.0
276: It is a parallelepiped, a = 16, b = 15, c = 14, density = 0.888, surface area = 1348.0
277: It is a parallelepiped, a = 14, b = 15, c = 16, density = 4.379, surface area = 1348.0
278: It is a parallelepiped, a = 15, b = 14, c = 16, density = 6.622, surface area = 1348.0
279: It is a parallelepiped, a = 20, b = 9, c = 17, density = 19.995, surface area = 1346.0
280: It is a parallelepiped, a = 20, b = 17, c = 9, density = 4.425, surface area = 1346.0
281: It is a parallelepiped, a = 17, b = 20, c = 9, density = 6.5, surface area = 1346.0
282: It is a parallelepiped, a = 9, b = 20, c = 17, density = 17.917, surface area = 1346.0
283: It is a parallelepiped, a = 16, b = 13, c = 16, density = 13.054, surface area = 1344.0
284: It is a parallelepiped, a = 13, b = 16, c = 16, density = 14.056, surface area = 1344.0
285: It is a parallelepiped, a = 17, b = 14, c = 14, density = 17.101, surface area = 1344.0
286: It is a parallelepiped, a = 14, b = 14, c = 17, density = 9.103, surface area = 1344.0
287: It is a parallelepiped, a = 13, b = 16, c = 16, density = 13.791, surface area = 1344.0
288: It is a parallelepiped, a = 14, b = 17, c = 14, density = 7.235, surface area = 1344.0
289: It is a parallelepiped, a = 17, b = 15, c = 13, density = 17.876, surface area = 1342.0
290: It is a parallelepiped, a = 17, b = 15, c = 13, density = 8.847, surface area = 1342.0
291: It is a parallelepiped, a = 17, b = 15, c = 13, density = 9.538, surface area = 1342.0
292: It is a parallelepiped, a = 14, b = 13, c = 18, density = 11.216, surface area = 1336.0
293: It is a parallelepiped, a = 16, b = 12, c = 17, density = 4.322, surface area = 1336.0
294: It is a parallelepiped, a = 17, b = 12, c = 16, density = 19.955, surface area = 1336.0
295: It is a parallelepiped, a = 13, b = 18, c = 14, density = 10.123, surface area = 1336.0
296: It is a parallelepiped, a = 12, b = 17, c = 16, density = 19.931, surface area = 1336.0
297: It is a parallelepiped, a = 18, b = 14, c = 13, density = 19.92, surface area = 1336.0
298: It is a parallelepiped, a = 14, b = 18, c = 13, density = 11.025, surface area = 1336.0
299: It is a parallelepiped, a = 18, b = 12, c = 15, density = 11.213, surface area = 1332.0
300: It is a parallelepiped, a = 12, b = 15, c = 18, density = 14.564, surface area = 1332.0
301: It is a parallelepiped, a = 8, b = 19, c = 19, density = 0.702, surface area = 1330.0
302: It is a parallelepiped, a = 8, b = 18, c = 20, density = 3.503, surface area = 1328.0
303: It is a parallelepiped, a = 18, b = 16, c = 11, density = 1.745, surface area = 1324.0
304: It is a parallelepiped, a = 16, b = 11, c = 18, density = 0.225, surface area = 1324.0
305: It is a parallelepiped, a = 11, b = 18, c = 16, density = 12.184, surface area = 1324.0
306: It is a parallelepiped, a = 11, b = 18, c = 16, density = 2.164, surface area = 1324.0
307: It is a parallelepiped, a = 12, b = 14, c = 19, density = 5.051, surface area = 1324.0
308: It is a parallelepiped, a = 15, b = 19, c = 11, density = 17.579, surface area = 1318.0
309: It is a parallelepiped, a = 10, b = 18, c = 17, density = 15.258, surface area = 1312.0
310: It is a parallelepiped, a = 17, b = 18, c = 10, density = 6.622, surface area = 1312.0
311: It is a parallelepiped, a = 12, b = 20, c = 13, density = 16.853, surface area = 1312.0
312: It is a parallelepiped, a = 10, b = 18, c = 17, density = 12.987, surface area = 1312.0
313: It is a parallelepiped, a = 17, b = 18, c = 10, density = 15.663, surface area = 1312.0
314: It is a parallelepiped, a = 10, b = 17, c = 18, density = 19.99, surface area = 1312.0
315: It is a parallelepiped, a = 10, b = 18, c = 17, density = 18.527, surface area = 1312.0
316: It is a parallelepiped, a = 20, b = 11, c = 14, density = 17.768, surface area = 1308.0
