Container contains 1000 elements:
1: It is a parallelepiped, a = 19, b = 20, c = 17, density = 5.246, surface area = 2086.0
46: It is a parallelepiped, a = 12, b = 16, c = 13, density = 1.266, surface area = 1112.0
47: It is a parallelepiped, a = 20, b = 5, c = 18, density = 8.173, surface area = 1100.0
48: It is a parallelepiped, a = 16, b = 9, c = 16, density = 10.864, surface area = 1088.0
49: It is a parallelepiped, a = 10, b = 13, c = 18, density = 8.978, surface area = 1088.0
50: It is a parallelepiped, a = 6, b = 19, c = 17, density = 6.232, surface area = 1078.0
51: It is a parallelepiped, a = 13, b = 19, c = 9, density = 8.82, surface area = 1070.0
52: It is a parallelepiped, a = 11, b = 14, c = 15, density = 5.815, surface area = 1058.0
53: It is a parallelepiped, a = 17, b = 7, c = 17, density = 15.448, surface area = 1054.0
54: It is a parallelepiped, a = 7, b = 16, c = 18, density = 11.853, surface area = 1052.0
55: It is a parallelepiped, a = 20, b = 20, c = 3, density = 12.406, surface area = 1040.0
56: It is a parallelepiped, a = 17, b = 9, c = 14, density = 5.956, surface area = 1034.0
57: It is a parallelepiped, a = 18, b = 10, c = 12, density = 1.317, surface area = 1032.0
58: It is a parallelepiped, a = 6, b = 18, c = 17, density = 18.547, surface area = 1032.0
59: It is a parallelepiped, a = 18, b = 13, c = 9, density = 4.16, surface area = 1026.0
60: It is a parallelepiped, a = 13, b = 18, c = 9, density = 10.655, surface area = 1026.0
61: It is a parallelepiped, a = 9, b = 18, c = 13, density = 15.989, surface area = 1026.0
62: It is a parallelepiped, a = 8, b = 16, c = 16, density = 6.688, surface area = 1024.0
63: It is a parallelepiped, a = 18, b = 20, c = 4, density = 6.894, surface area = 1024.0
64: It is a parallelepiped, a = 18, b = 5, c = 18, density = 2.672, surface area = 1008.0
65: It is a parallelepiped, a = 12, b = 11, c = 16, density = 8.929, surface area = 1000.0
66: It is a parallelepiped, a = 10, b = 20, c = 10, density = 2.66, surface area = 1000.0
67: It is a parallelepiped, a = 16, b = 6, c = 18, density = 18.43, surface area = 984.0
68: It is a parallelepiped, a = 4, b = 19, c = 18, density = 18.146, surface area = 980.0
69: It is a parallelepiped, a = 9, b = 18, c = 12, density = 14.287, surface area = 972.0
70: It is a parallelepiped, a = 13, b = 12, c = 13, density = 13.657, surface area = 962.0
71: It is a parallelepiped, a = 10, b = 19, c = 10, density = 14.118, surface area = 960.0
72: It is a parallelepiped, a = 19, b = 16, c = 5, density = 2.51, surface area = 958.0
73: It is a parallelepiped, a = 20, b = 5, c = 15, density = 12.796, surface area = 950.0
74: It is a parallelepiped, a = 11, b = 11, c = 16, density = 3.108, surface area = 946.0
75: It is a parallelepiped, a = 7, b = 13, c = 19, density = 6.695, surface area = 942.0
76: It is a parallelepiped, a = 18, b = 18, c = 4, density = 1.371, surface area = 936.0
77: It is a parallelepiped, a = 15, b = 15, c = 8, density = 7.487, surface area = 930.0
78: It is a parallelepiped, a = 17, b = 13, c = 8, density = 0.567, surface area = 922.0
79: It is a parallelepiped, a = 18, b = 9, c = 11, density = 11.227, surface area = 918.0
80: It is a parallelepiped, a = 20, b = 19, c = 2, density = 18.394, surface area = 916.0
81: It is a parallelepiped, a = 7, b = 15, c = 16, density = 5.606, surface area = 914.0
82: It is a parallelepiped, a = 19, b = 15, c = 5, density = 11.544, surface area = 910.0
83: It is a parallelepiped, a = 20, b = 14, c = 5, density = 13.441, surface area = 900.0
84: It is a parallelepiped, a = 10, b = 12, c = 15, density = 7.05, surface area = 900.0
85: It is a parallelepiped, a = 19, b = 16, c = 4, density = 0.725, surface area = 888.0
86: It is a parallelepiped, a = 20, b = 1, c = 20, density = 14.121, surface area = 880.0
87: It is a parallelepiped, a = 11, b = 17, c = 9, density = 10.673, surface area = 878.0
88: It is a parallelepiped, a = 17, b = 9, c = 11, density = 0.583, surface area = 878.0
89: It is a parallelepiped, a = 18, b = 3, c = 18, density = 3.537, surface area = 864.0
90: It is a parallelepiped, a = 19, b = 14, c = 5, density = 16.283, surface area = 862.0
91: It is a parallelepiped, a = 14, b = 19, c = 5, density = 4.646, surface area = 862.0
92: It is a parallelepiped, a = 11, b = 18, c = 8, density = 2.966, surface area = 860.0
93: It is a parallelepiped, a = 11, b = 14, c = 11, density = 1.506, surface area = 858.0
94: It is a parallelepiped, a = 14, b = 12, c = 10, density = 17.926, surface area = 856.0
95: It is a parallelepiped, a = 9, b = 13, c = 14, density = 4.124, surface area = 850.0
96: It is a parallelepiped, a = 4, b = 15, c = 19, density = 16.758, surface area = 842.0
97: It is a parallelepiped, a = 14, b = 8, c = 14, density = 18.364, surface area = 840.0
98: It is a parallelepiped, a = 20, b = 14, c = 4, density = 11.709, surface area = 832.0
99: It is a parallelepiped, a = 17, b = 15, c = 5, density = 4.573, surface area = 830.0
100: It is a parallelepiped, a = 7, b = 16, c = 13, density = 7.013, surface area = 822.0
101: It is a parallelepiped, a = 11, b = 14, c = 10, density = 12.75, surface area = 808.0
102: It is a parallelepiped, a = 16, b = 17, c = 4, density = 17.052, surface area = 808.0
103: It is a parallelepiped, a = 9, b = 13, c = 13, density = 9.3, surface area = 806.0
104: It is a parallelepiped, a = 4, b = 15, c = 18, density = 3.989, surface area = 804.0
105: It is a parallelepiped, a = 14, b = 12, c = 9, density = 8.597, surface area = 804.0
106: It is a parallelepiped, a = 18, b = 7, c = 11, density = 15.776, surface area = 802.0
107: It is a parallelepiped, a = 1, b = 18, c = 20, density = 15.455, surface area = 796.0
108: It is a parallelepiped, a = 14, b = 19, c = 4, density = 5.184, surface area = 796.0
109: It is a parallelepiped, a = 10, b = 16, c = 9, density = 3.33, surface area = 788.0
110: It is a parallelepiped, a = 20, b = 4, c = 13, density = 15.299, surface area = 784.0
111: It is a parallelepiped, a = 12, b = 16, c = 7, density = 2.276, surface area = 776.0
112: It is a parallelepiped, a = 8, b = 8, c = 20, density = 18.613, surface area = 768.0
113: It is a parallelepiped, a = 5, b = 12, c = 19, density = 11.629, surface area = 766.0
114: It is a parallelepiped, a = 14, b = 18, c = 4, density = 3.237, surface area = 760.0
115: It is a parallelepiped, a = 14, b = 10, c = 10, density = 3.013, surface area = 760.0
116: It is a parallelepiped, a = 1, b = 17, c = 20, density = 18.963, surface area = 754.0
117: It is a parallelepiped, a = 8, b = 14, c = 12, density = 5.55, surface area = 752.0
118: It is a parallelepiped, a = 12, b = 14, c = 8, density = 18.376, surface area = 752.0
119: It is a parallelepiped, a = 10, b = 7, c = 18, density = 11.313, surface area = 752.0
120: It is a parallelepiped, a = 12, b = 7, c = 15, density = 3.827, surface area = 738.0
121: It is a parallelepiped, a = 11, b = 7, c = 16, density = 3.326, surface area = 730.0
122: It is a parallelepiped, a = 5, b = 11, c = 19, density = 4.06, surface area = 718.0
123: It is a parallelepiped, a = 20, b = 3, c = 13, density = 9.232, surface area = 718.0
124: It is a parallelepiped, a = 9, b = 6, c = 20, density = 10.824, surface area = 708.0
125: It is a parallelepiped, a = 15, b = 19, c = 2, density = 16.025, surface area = 706.0
126: It is a parallelepiped, a = 13, b = 5, c = 16, density = 3.411, surface area = 706.0
127: It is a parallelepiped, a = 4, b = 12, c = 19, density = 12.269, surface area = 704.0
128: It is a parallelepiped, a = 15, b = 17, c = 3, density = 11.616, surface area = 702.0
129: It is a parallelepiped, a = 18, b = 7, c = 9, density = 1.28, surface area = 702.0
130: It is a parallelepiped, a = 8, b = 10, c = 15, density = 2.415, surface area = 700.0
131: It is a tetrahedron, a = 20, density = 10.251, surface area = 692.8203230275508
132: It is a tetrahedron, a = 20, density = 16.113, surface area = 692.8203230275508
133: It is a tetrahedron, a = 20, density = 4.711, surface area = 692.8203230275508
134: It is a tetrahedron, a = 20, density = 18.788, surface area = 692.8203230275508
135: It is a tetrahedron, a = 20, density = 14.532, surface area = 692.8203230275508
136: It is a tetrahedron, a = 20, density = 16.9, surface area = 692.8203230275508
137: It is a tetrahedron, a = 20, density = 6.943, surface area = 692.8203230275508
138: It is a tetrahedron, a = 20, density = 10.354, surface area = 692.8203230275508
139: It is a tetrahedron, a = 20, density = 4.646, surface area = 692.8203230275508
140: It is a tetrahedron, a = 20, density = 8.682, surface area = 692.8203230275508
141: It is a tetrahedron, a = 20, density = 14.984, surface area = 692.8203230275508
142: It is a tetrahedron, a = 20, density = 17.427, surface area = 692.8203230275508
143: It is a parallelepiped, a = 20, b = 11, c = 4, density = 8.653, surface area = 688.0
144: It is a parallelepiped, a = 20, b = 11, c = 4, density = 19.342, surface area = 688.0
145: It is a parallelepiped, a = 10, b = 16, c = 7, density = 8.983, surface area = 684.0
146: It is a parallelepiped, a = 10, b = 10, c = 12, density = 2.868, surface area = 680.0
147: It is a parallelepiped, a = 9, b = 6, c = 19, density = 8.995, surface area = 678.0
148: It is a parallelepiped, a = 15, b = 2, c = 18, density = 16.138, surface area = 672.0
149: It is a parallelepiped, a = 15, b = 13, c = 5, density = 10.112, surface area = 670.0
150: It is a parallelepiped, a = 1, b = 20, c = 15, density = 0.868, surface area = 670.0
151: It is a parallelepiped, a = 19, b = 5, c = 10, density = 16.939, surface area = 670.0
152: It is a parallelepiped, a = 5, b = 19, c = 10, density = 14.927, surface area = 670.0
153: It is a parallelepiped, a = 9, b = 14, c = 9, density = 19.672, surface area = 666.0
154: It is a parallelepiped, a = 6, b = 10, c = 17, density = 5.353, surface area = 664.0
155: It is a parallelepiped, a = 3, b = 14, c = 17, density = 17.187, surface area = 662.0
156: It is a parallelepiped, a = 11, b = 19, c = 4, density = 13.454, surface area = 658.0
157: It is a parallelepiped, a = 20, b = 8, c = 6, density = 12.389, surface area = 656.0
158: It is a parallelepiped, a = 15, b = 8, c = 9, density = 1.999, surface area = 654.0
159: It is a parallelepiped, a = 15, b = 14, c = 4, density = 10.745, surface area = 652.0
160: It is a parallelepiped, a = 4, b = 16, c = 13, density = 10.488, surface area = 648.0
161: It is a parallelepiped, a = 3, b = 19, c = 12, density = 14.122, surface area = 642.0
162: It is a parallelepiped, a = 12, b = 4, c = 17, density = 0.447, surface area = 640.0
163: It is a parallelepiped, a = 5, b = 13, c = 14, density = 13.511, surface area = 634.0
164: It is a parallelepiped, a = 11, b = 12, c = 8, density = 10.766, surface area = 632.0
165: It is a parallelepiped, a = 15, b = 15, c = 3, density = 5.398, surface area = 630.0
166: It is a parallelepiped, a = 3, b = 16, c = 14, density = 1.314, surface area = 628.0
167: It is a tetrahedron, a = 19, density = 17.508, surface area = 625.2703415323647
168: It is a tetrahedron, a = 19, density = 17.515, surface area = 625.2703415323647
169: It is a tetrahedron, a = 19, density = 14.838, surface area = 625.2703415323647
170: It is a tetrahedron, a = 19, density = 8.517, surface area = 625.2703415323647
171: It is a tetrahedron, a = 19, density = 10.185, surface area = 625.2703415323647
172: It is a tetrahedron, a = 19, density = 18.841, surface area = 625.2703415323647
173: It is a tetrahedron, a = 19, density = 9.894, surface area = 625.2703415323647
174: It is a tetrahedron, a = 19, density = 17.285, surface area = 625.2703415323647
175: It is a tetrahedron, a = 19, density = 16.288, surface area = 625.2703415323647
176: It is a tetrahedron, a = 19, density = 3.665, surface area = 625.2703415323647
177: It is a tetrahedron, a = 19, density = 13.718, surface area = 625.2703415323647
178: It is a tetrahedron, a = 19, density = 10.134, surface area = 625.2703415323647
179: It is a tetrahedron, a = 19, density = 15.81, surface area = 625.2703415323647
180: It is a tetrahedron, a = 19, density = 16.187, surface area = 625.2703415323647
181: It is a parallelepiped, a = 8, b = 7, c = 17, density = 11.58, surface area = 622.0
182: It is a parallelepiped, a = 2, b = 13, c = 19, density = 5.377, surface area = 622.0
183: It is a parallelepiped, a = 11, b = 13, c = 7, density = 8.346, surface area = 622.0
184: It is a parallelepiped, a = 6, b = 17, c = 9, density = 1.784, surface area = 618.0
185: It is a parallelepiped, a = 14, b = 7, c = 10, density = 15.181, surface area = 616.0
186: It is a parallelepiped, a = 4, b = 14, c = 14, density = 2.279, surface area = 616.0
187: It is a parallelepiped, a = 15, b = 13, c = 4, density = 13.45, surface area = 614.0
188: It is a parallelepiped, a = 12, b = 13, c = 6, density = 3.743, surface area = 612.0
189: It is a parallelepiped, a = 3, b = 18, c = 12, density = 16.534, surface area = 612.0
190: It is a parallelepiped, a = 17, b = 16, c = 1, density = 6.222, surface area = 610.0
191: It is a parallelepiped, a = 16, b = 17, c = 1, density = 19.686, surface area = 610.0
192: It is a parallelepiped, a = 20, b = 12, c = 2, density = 15.376, surface area = 608.0
193: It is a parallelepiped, a = 15, b = 7, c = 9, density = 0.22, surface area = 606.0
194: It is a parallelepiped, a = 9, b = 15, c = 7, density = 7.915, surface area = 606.0
195: It is a parallelepiped, a = 7, b = 20, c = 6, density = 0.158, surface area = 604.0
196: It is a parallelepiped, a = 9, b = 12, c = 9, density = 14.657, surface area = 594.0
197: It is a parallelepiped, a = 13, b = 3, c = 16, density = 19.029, surface area = 590.0
198: It is a parallelepiped, a = 13, b = 1, c = 20, density = 10.837, surface area = 586.0
199: It is a parallelepiped, a = 20, b = 1, c = 13, density = 14.11, surface area = 586.0
200: It is a parallelepiped, a = 4, b = 10, c = 18, density = 6.144, surface area = 584.0
201: It is a parallelepiped, a = 4, b = 13, c = 14, density = 13.026, surface area = 580.0
202: It is a parallelepiped, a = 15, b = 12, c = 4, density = 13.009, surface area = 576.0
203: It is a parallelepiped, a = 4, b = 16, c = 11, density = 4.784, surface area = 568.0
204: It is a parallelepiped, a = 16, b = 14, c = 2, density = 0.284, surface area = 568.0
205: It is a parallelepiped, a = 5, b = 9, c = 17, density = 14.1, surface area = 566.0
206: It is a tetrahedron, a = 18, density = 15.687, surface area = 561.1844616523161
207: It is a tetrahedron, a = 18, density = 11.701, surface area = 561.1844616523161
208: It is a tetrahedron, a = 18, density = 11.394, surface area = 561.1844616523161
209: It is a tetrahedron, a = 18, density = 16.819, surface area = 561.1844616523161
210: It is a tetrahedron, a = 18, density = 3.683, surface area = 561.1844616523161
211: It is a tetrahedron, a = 18, density = 10.563, surface area = 561.1844616523161
212: It is a tetrahedron, a = 18, density = 19.754, surface area = 561.1844616523161
213: It is a tetrahedron, a = 18, density = 18.065, surface area = 561.1844616523161
214: It is a tetrahedron, a = 18, density = 7.284, surface area = 561.1844616523161
215: It is a tetrahedron, a = 18, density = 14.836, surface area = 561.1844616523161
216: It is a tetrahedron, a = 18, density = 17.638, surface area = 561.1844616523161
217: It is a tetrahedron, a = 18, density = 15.549, surface area = 561.1844616523161
218: It is a tetrahedron, a = 18, density = 3.622, surface area = 561.1844616523161
219: It is a tetrahedron, a = 18, density = 11.657, surface area = 561.1844616523161
220: It is a tetrahedron, a = 18, density = 9.959, surface area = 561.1844616523161
221: It is a tetrahedron, a = 18, density = 3.743, surface area = 561.1844616523161
222: It is a parallelepiped, a = 9, b = 11, c = 9, density = 8.268, surface area = 558.0
223: It is a parallelepiped, a = 13, b = 15, c = 3, density = 13.132, surface area = 558.0
224: It is a parallelepiped, a = 10, b = 17, c = 4, density = 9.188, surface area = 556.0
225: It is a parallelepiped, a = 19, b = 10, c = 3, density = 13.519, surface area = 554.0
226: It is a parallelepiped, a = 9, b = 8, c = 12, density = 8.337, surface area = 552.0
227: It is a parallelepiped, a = 8, b = 9, c = 12, density = 12.755, surface area = 552.0
228: It is a parallelepiped, a = 7, b = 20, c = 5, density = 0.932, surface area = 550.0
229: It is a parallelepiped, a = 8, b = 5, c = 18, density = 12.178, surface area = 548.0
230: It is a parallelepiped, a = 6, b = 11, c = 12, density = 9.49, surface area = 540.0
231: It is a parallelepiped, a = 12, b = 12, c = 5, density = 4.857, surface area = 528.0
232: It is a parallelepiped, a = 10, b = 10, c = 8, density = 7.495, surface area = 520.0
233: It is a parallelepiped, a = 17, b = 4, c = 9, density = 0.638, surface area = 514.0
234: It is a parallelepiped, a = 7, b = 11, c = 10, density = 2.564, surface area = 514.0
235: It is a parallelepiped, a = 18, b = 2, c = 11, density = 3.07, surface area = 512.0
236: It is a parallelepiped, a = 11, b = 20, c = 1, density = 16.892, surface area = 502.0
237: It is a tetrahedron, a = 17, density = 18.618, surface area = 500.5626833874055
238: It is a tetrahedron, a = 17, density = 7.795, surface area = 500.5626833874055
239: It is a tetrahedron, a = 17, density = 2.243, surface area = 500.5626833874055
240: It is a tetrahedron, a = 17, density = 15.547, surface area = 500.5626833874055
241: It is a tetrahedron, a = 17, density = 3.853, surface area = 500.5626833874055
242: It is a tetrahedron, a = 17, density = 7.277, surface area = 500.5626833874055
243: It is a tetrahedron, a = 17, density = 4.183, surface area = 500.5626833874055
244: It is a tetrahedron, a = 17, density = 4.678, surface area = 500.5626833874055
245: It is a tetrahedron, a = 17, density = 14.065, surface area = 500.5626833874055
246: It is a tetrahedron, a = 17, density = 17.474, surface area = 500.5626833874055
247: It is a tetrahedron, a = 17, density = 13.458, surface area = 500.5626833874055
248: It is a tetrahedron, a = 17, density = 19.722, surface area = 500.5626833874055
249: It is a tetrahedron, a = 17, density = 16.08, surface area = 500.5626833874055
250: It is a parallelepiped, a = 11, b = 5, c = 12, density = 19.044, surface area = 494.0
251: It is a parallelepiped, a = 1, b = 12, c = 18, density = 16.214, surface area = 492.0
252: It is a parallelepiped, a = 10, b = 5, c = 13, density = 9.608, surface area = 490.0
253: It is a parallelepiped, a = 12, b = 4, c = 12, density = 14.897, surface area = 480.0
254: It is a parallelepiped, a = 5, b = 6, c = 19, density = 5.991, surface area = 478.0
255: It is a parallelepiped, a = 10, b = 14, c = 4, density = 18.268, surface area = 472.0
256: It is a parallelepiped, a = 3, b = 19, c = 8, density = 8.631, surface area = 466.0
257: It is a parallelepiped, a = 4, b = 15, c = 9, density = 6.272, surface area = 462.0
258: It is a parallelepiped, a = 13, b = 6, c = 8, density = 12.414, surface area = 460.0
259: It is a parallelepiped, a = 3, b = 14, c = 11, density = 5.49, surface area = 458.0
260: It is a parallelepiped, a = 14, b = 11, c = 3, density = 18.187, surface area = 458.0
261: It is a parallelepiped, a = 18, b = 6, c = 5, density = 18.411, surface area = 456.0
262: It is a parallelepiped, a = 7, b = 4, c = 18, density = 1.623, surface area = 452.0
263: It is a parallelepiped, a = 6, b = 4, c = 20, density = 13.79, surface area = 448.0
264: It is a parallelepiped, a = 7, b = 9, c = 10, density = 16.372, surface area = 446.0
265: It is a tetrahedron, a = 16, density = 17.296, surface area = 443.40500673763256
266: It is a tetrahedron, a = 16, density = 0.616, surface area = 443.40500673763256
267: It is a tetrahedron, a = 16, density = 10.197, surface area = 443.40500673763256
268: It is a tetrahedron, a = 16, density = 16.283, surface area = 443.40500673763256
269: It is a tetrahedron, a = 16, density = 3.991, surface area = 443.40500673763256
270: It is a tetrahedron, a = 16, density = 7.809, surface area = 443.40500673763256
271: It is a tetrahedron, a = 16, density = 1.246, surface area = 443.40500673763256
272: It is a parallelepiped, a = 7, b = 20, c = 3, density = 3.806, surface area = 442.0
273: It is a parallelepiped, a = 16, b = 1, c = 12, density = 17.578, surface area = 440.0
274: It is a parallelepiped, a = 9, b = 3, c = 16, density = 1.52, surface area = 438.0
275: It is a parallelepiped, a = 9, b = 11, c = 6, density = 10.683, surface area = 438.0
276: It is a parallelepiped, a = 20, b = 2, c = 8, density = 6.221, surface area = 432.0
277: It is a parallelepiped, a = 20, b = 2, c = 8, density = 11.346, surface area = 432.0
278: It is a parallelepiped, a = 19, b = 5, c = 5, density = 6.224, surface area = 430.0
279: It is a parallelepiped, a = 6, b = 19, c = 4, density = 19.106, surface area = 428.0
280: It is a parallelepiped, a = 3, b = 8, c = 17, density = 11.713, surface area = 422.0
281: It is a parallelepiped, a = 13, b = 5, c = 8, density = 12.052, surface area = 418.0
282: It is a parallelepiped, a = 8, b = 5, c = 13, density = 12.147, surface area = 418.0
283: It is a parallelepiped, a = 9, b = 8, c = 8, density = 1.172, surface area = 416.0
284: It is a parallelepiped, a = 12, b = 1, c = 15, density = 11.902, surface area = 414.0
285: It is a parallelepiped, a = 20, b = 4, c = 5, density = 6.564, surface area = 400.0
286: It is a parallelepiped, a = 16, b = 3, c = 8, density = 7.701, surface area = 400.0
287: It is a parallelepiped, a = 8, b = 4, c = 14, density = 15.975, surface area = 400.0
288: It is a parallelepiped, a = 9, b = 1, c = 19, density = 3.321, surface area = 398.0
289: It is a parallelepiped, a = 10, b = 13, c = 3, density = 15.206, surface area = 398.0
290: It is a parallelepiped, a = 6, b = 7, c = 12, density = 7.612, surface area = 396.0
291: It is a parallelepiped, a = 18, b = 2, c = 8, density = 3.555, surface area = 392.0
292: It is a tetrahedron, a = 15, density = 4.62, surface area = 389.71143170299734
293: It is a tetrahedron, a = 15, density = 2.386, surface area = 389.71143170299734
294: It is a tetrahedron, a = 15, density = 5.406, surface area = 389.71143170299734
295: It is a tetrahedron, a = 15, density = 6.842, surface area = 389.71143170299734
296: It is a tetrahedron, a = 15, density = 8.517, surface area = 389.71143170299734
297: It is a tetrahedron, a = 15, density = 19.923, surface area = 389.71143170299734
298: It is a tetrahedron, a = 15, density = 12.55, surface area = 389.71143170299734
299: It is a tetrahedron, a = 15, density = 3.14, surface area = 389.71143170299734
300: It is a tetrahedron, a = 15, density = 10.293, surface area = 389.71143170299734
301: It is a tetrahedron, a = 15, density = 7.839, surface area = 389.71143170299734
302: It is a tetrahedron, a = 15, density = 12.59, surface area = 389.71143170299734
303: It is a tetrahedron, a = 15, density = 14.307, surface area = 389.71143170299734
304: It is a tetrahedron, a = 15, density = 1.565, surface area = 389.71143170299734
305: It is a tetrahedron, a = 15, density = 17.21, surface area = 389.71143170299734
306: It is a tetrahedron, a = 15, density = 12.66, surface area = 389.71143170299734
307: It is a parallelepiped, a = 4, b = 6, c = 17, density = 4.646, surface area = 388.0
308: It is a parallelepiped, a = 7, b = 15, c = 4, density = 15.305, surface area = 386.0
309: It is a parallelepiped, a = 5, b = 13, c = 7, density = 5.392, surface area = 382.0
310: It is a parallelepiped, a = 15, b = 3, c = 8, density = 0.594, surface area = 378.0
311: It is a parallelepiped, a = 6, b = 19, c = 3, density = 1.584, surface area = 378.0
312: It is a parallelepiped, a = 16, b = 1, c = 10, density = 15.651, surface area = 372.0
313: It is a parallelepiped, a = 6, b = 4, c = 16, density = 1.161, surface area = 368.0
314: It is a parallelepiped, a = 9, b = 3, c = 13, density = 5.134, surface area = 366.0
315: It is a parallelepiped, a = 5, b = 8, c = 11, density = 17.043, surface area = 366.0
316: It is a parallelepiped, a = 14, b = 7, c = 4, density = 7.097, surface area = 364.0
317: It is a parallelepiped, a = 9, b = 4, c = 11, density = 12.454, surface area = 358.0
318: It is a parallelepiped, a = 12, b = 7, c = 5, density = 16.482, surface area = 358.0
319: It is a parallelepiped, a = 9, b = 11, c = 4, density = 14.853, surface area = 358.0
320: It is a parallelepiped, a = 6, b = 9, c = 8, density = 7.243, surface area = 348.0
321: It is a parallelepiped, a = 13, b = 5, c = 6, density = 14.387, surface area = 346.0
322: It is a parallelepiped, a = 6, b = 2, c = 20, density = 13.485, surface area = 344.0
323: It is a parallelepiped, a = 2, b = 14, c = 9, density = 12.937, surface area = 344.0
324: It is a tetrahedron, a = 14, density = 15.704, surface area = 339.4819582834999
325: It is a tetrahedron, a = 14, density = 7.023, surface area = 339.4819582834999
326: It is a tetrahedron, a = 14, density = 19.207, surface area = 339.4819582834999
327: It is a tetrahedron, a = 14, density = 0.135, surface area = 339.4819582834999
328: It is a tetrahedron, a = 14, density = 5.113, surface area = 339.4819582834999
329: It is a tetrahedron, a = 14, density = 8.331, surface area = 339.4819582834999
330: It is a tetrahedron, a = 14, density = 2.431, surface area = 339.4819582834999
331: It is a tetrahedron, a = 14, density = 11.351, surface area = 339.4819582834999
332: It is a tetrahedron, a = 14, density = 15.116, surface area = 339.4819582834999
333: It is a tetrahedron, a = 14, density = 7.843, surface area = 339.4819582834999
334: It is a tetrahedron, a = 14, density = 4.139, surface area = 339.4819582834999
