Container contains 10000 elements:
1: It is a parallelepiped, a = 20, b = 20, c = 19, density = 12.722, surface area = 2320.0
154: It is a parallelepiped, a = 19, b = 15, c = 14, density = 15.252, surface area = 1522.0
155: It is a parallelepiped, a = 20, b = 9, c = 20, density = 12.187, surface area = 1520.0
156: It is a parallelepiped, a = 20, b = 20, c = 9, density = 13.236, surface area = 1520.0
157: It is a parallelepiped, a = 20, b = 20, c = 9, density = 1.956, surface area = 1520.0
158: It is a parallelepiped, a = 13, b = 19, c = 16, density = 7.509, surface area = 1518.0
159: It is a parallelepiped, a = 16, b = 19, c = 13, density = 1.012, surface area = 1518.0
160: It is a parallelepiped, a = 13, b = 19, c = 16, density = 10.602, surface area = 1518.0
161: It is a parallelepiped, a = 12, b = 18, c = 18, density = 0.982, surface area = 1512.0
162: It is a parallelepiped, a = 12, b = 17, c = 19, density = 17.901, surface area = 1510.0
163: It is a parallelepiped, a = 17, b = 19, c = 12, density = 9.68, surface area = 1510.0
164: It is a parallelepiped, a = 13, b = 15, c = 20, density = 8.255, surface area = 1510.0
165: It is a parallelepiped, a = 20, b = 13, c = 15, density = 2.644, surface area = 1510.0
166: It is a parallelepiped, a = 17, b = 19, c = 12, density = 7.586, surface area = 1510.0
167: It is a parallelepiped, a = 17, b = 19, c = 12, density = 15.774, surface area = 1510.0
168: It is a parallelepiped, a = 16, b = 20, c = 12, density = 8.389, surface area = 1504.0
169: It is a parallelepiped, a = 19, b = 18, c = 11, density = 12.109, surface area = 1498.0
170: It is a parallelepiped, a = 19, b = 11, c = 18, density = 10.397, surface area = 1498.0
171: It is a parallelepiped, a = 11, b = 20, c = 17, density = 18.304, surface area = 1494.0
172: It is a parallelepiped, a = 17, b = 11, c = 20, density = 3.696, surface area = 1494.0
173: It is a parallelepiped, a = 17, b = 20, c = 11, density = 10.734, surface area = 1494.0
174: It is a parallelepiped, a = 17, b = 20, c = 11, density = 6.49, surface area = 1494.0
175: It is a parallelepiped, a = 20, b = 10, c = 18, density = 17.519, surface area = 1480.0
176: It is a parallelepiped, a = 10, b = 20, c = 18, density = 6.327, surface area = 1480.0
177: It is a parallelepiped, a = 18, b = 10, c = 20, density = 10.861, surface area = 1480.0
178: It is a parallelepiped, a = 16, b = 16, c = 15, density = 18.472, surface area = 1472.0
179: It is a parallelepiped, a = 15, b = 15, c = 17, density = 1.792, surface area = 1470.0
180: It is a parallelepiped, a = 15, b = 17, c = 15, density = 0.613, surface area = 1470.0
181: It is a parallelepiped, a = 16, b = 17, c = 14, density = 17.972, surface area = 1468.0
182: It is a parallelepiped, a = 17, b = 16, c = 14, density = 12.272, surface area = 1468.0
183: It is a parallelepiped, a = 16, b = 14, c = 17, density = 3.131, surface area = 1468.0
184: It is a parallelepiped, a = 16, b = 17, c = 14, density = 17.24, surface area = 1468.0
185: It is a parallelepiped, a = 14, b = 16, c = 17, density = 19.932, surface area = 1468.0
186: It is a parallelepiped, a = 14, b = 18, c = 15, density = 5.337, surface area = 1464.0
187: It is a parallelepiped, a = 19, b = 9, c = 20, density = 3.828, surface area = 1462.0
188: It is a parallelepiped, a = 13, b = 17, c = 17, density = 10.601, surface area = 1462.0
189: It is a parallelepiped, a = 19, b = 9, c = 20, density = 18.09, surface area = 1462.0
190: It is a parallelepiped, a = 9, b = 20, c = 19, density = 7.909, surface area = 1462.0
191: It is a parallelepiped, a = 13, b = 16, c = 18, density = 0.662, surface area = 1460.0
192: It is a parallelepiped, a = 14, b = 14, c = 19, density = 15.38, surface area = 1456.0
193: It is a parallelepiped, a = 13, b = 15, c = 19, density = 15.263, surface area = 1454.0
194: It is a parallelepiped, a = 19, b = 15, c = 13, density = 9.316, surface area = 1454.0
195: It is a parallelepiped, a = 18, b = 12, c = 17, density = 2.563, surface area = 1452.0
196: It is a parallelepiped, a = 12, b = 18, c = 17, density = 14.247, surface area = 1452.0
197: It is a parallelepiped, a = 18, b = 17, c = 12, density = 4.402, surface area = 1452.0
198: It is a parallelepiped, a = 17, b = 18, c = 12, density = 1.174, surface area = 1452.0
199: It is a parallelepiped, a = 16, b = 12, c = 19, density = 11.099, surface area = 1448.0
200: It is a parallelepiped, a = 19, b = 12, c = 16, density = 8.671, surface area = 1448.0
201: It is a parallelepiped, a = 13, b = 20, c = 14, density = 17.711, surface area = 1444.0
202: It is a parallelepiped, a = 14, b = 13, c = 20, density = 17.867, surface area = 1444.0
203: It is a parallelepiped, a = 18, b = 18, c = 11, density = 7.314, surface area = 1440.0
204: It is a parallelepiped, a = 15, b = 12, c = 20, density = 18.324, surface area = 1440.0
205: It is a parallelepiped, a = 12, b = 15, c = 20, density = 5.161, surface area = 1440.0
206: It is a parallelepiped, a = 15, b = 12, c = 20, density = 19.991, surface area = 1440.0
207: It is a parallelepiped, a = 18, b = 18, c = 11, density = 3.514, surface area = 1440.0
208: It is a parallelepiped, a = 20, b = 15, c = 12, density = 6.85, surface area = 1440.0
209: It is a parallelepiped, a = 11, b = 16, c = 20, density = 17.917, surface area = 1432.0
210: It is a parallelepiped, a = 11, b = 16, c = 20, density = 15.16, surface area = 1432.0
211: It is a parallelepiped, a = 16, b = 11, c = 20, density = 11.82, surface area = 1432.0
212: It is a parallelepiped, a = 19, b = 10, c = 18, density = 13.991, surface area = 1424.0
213: It is a parallelepiped, a = 17, b = 10, c = 20, density = 3.428, surface area = 1420.0
214: It is a parallelepiped, a = 20, b = 10, c = 17, density = 9.923, surface area = 1420.0
215: It is a parallelepiped, a = 10, b = 17, c = 20, density = 14.691, surface area = 1420.0
216: It is a parallelepiped, a = 15, b = 14, c = 17, density = 19.77, surface area = 1406.0
217: It is a parallelepiped, a = 9, b = 19, c = 19, density = 5.776, surface area = 1406.0
218: It is a parallelepiped, a = 17, b = 14, c = 15, density = 13.38, surface area = 1406.0
219: It is a parallelepiped, a = 15, b = 14, c = 17, density = 6.102, surface area = 1406.0
220: It is a parallelepiped, a = 9, b = 19, c = 19, density = 14.756, surface area = 1406.0
221: It is a parallelepiped, a = 15, b = 17, c = 14, density = 0.469, surface area = 1406.0
222: It is a parallelepiped, a = 14, b = 15, c = 17, density = 17.206, surface area = 1406.0
223: It is a parallelepiped, a = 18, b = 20, c = 9, density = 13.535, surface area = 1404.0
224: It is a parallelepiped, a = 18, b = 9, c = 20, density = 9.172, surface area = 1404.0
225: It is a parallelepiped, a = 20, b = 18, c = 9, density = 18.539, surface area = 1404.0
226: It is a parallelepiped, a = 13, b = 16, c = 17, density = 3.634, surface area = 1402.0
227: It is a parallelepiped, a = 13, b = 16, c = 17, density = 14.699, surface area = 1402.0
228: It is a parallelepiped, a = 16, b = 17, c = 13, density = 8.506, surface area = 1402.0
229: It is a parallelepiped, a = 17, b = 13, c = 16, density = 7.159, surface area = 1402.0
230: It is a parallelepiped, a = 18, b = 14, c = 14, density = 1.415, surface area = 1400.0
231: It is a parallelepiped, a = 18, b = 15, c = 13, density = 5.05, surface area = 1398.0
232: It is a parallelepiped, a = 13, b = 15, c = 18, density = 5.973, surface area = 1398.0
233: It is a parallelepiped, a = 13, b = 15, c = 18, density = 11.137, surface area = 1398.0
234: It is a parallelepiped, a = 13, b = 15, c = 18, density = 6.015, surface area = 1398.0
235: It is a parallelepiped, a = 17, b = 17, c = 12, density = 14.997, surface area = 1394.0
236: It is a parallelepiped, a = 12, b = 16, c = 18, density = 15.331, surface area = 1392.0
237: It is a parallelepiped, a = 18, b = 16, c = 12, density = 4.022, surface area = 1392.0
238: It is a parallelepiped, a = 16, b = 18, c = 12, density = 13.114, surface area = 1392.0
239: It is a parallelepiped, a = 18, b = 16, c = 12, density = 7.295, surface area = 1392.0
240: It is a parallelepiped, a = 13, b = 19, c = 14, density = 2.604, surface area = 1390.0
241: It is a parallelepiped, a = 19, b = 15, c = 12, density = 7.946, surface area = 1386.0
242: It is a parallelepiped, a = 12, b = 19, c = 15, density = 6.241, surface area = 1386.0
243: It is a parallelepiped, a = 19, b = 15, c = 12, density = 9.493, surface area = 1386.0
244: It is a parallelepiped, a = 20, b = 8, c = 19, density = 19.41, surface area = 1384.0
245: It is a parallelepiped, a = 8, b = 20, c = 19, density = 18.204, surface area = 1384.0
246: It is a parallelepiped, a = 20, b = 19, c = 8, density = 2.619, surface area = 1384.0
247: It is a parallelepiped, a = 17, b = 18, c = 11, density = 6.363, surface area = 1382.0
248: It is a parallelepiped, a = 11, b = 18, c = 17, density = 2.823, surface area = 1382.0
249: It is a parallelepiped, a = 11, b = 18, c = 17, density = 2.314, surface area = 1382.0
250: It is a parallelepiped, a = 19, b = 16, c = 11, density = 2.094, surface area = 1378.0
251: It is a parallelepiped, a = 19, b = 11, c = 16, density = 18.422, surface area = 1378.0
252: It is a parallelepiped, a = 20, b = 13, c = 13, density = 6.871, surface area = 1378.0
253: It is a parallelepiped, a = 11, b = 19, c = 16, density = 0.332, surface area = 1378.0
254: It is a parallelepiped, a = 13, b = 13, c = 20, density = 14.134, surface area = 1378.0
255: It is a parallelepiped, a = 11, b = 16, c = 19, density = 12.025, surface area = 1378.0
256: It is a parallelepiped, a = 13, b = 13, c = 20, density = 12.715, surface area = 1378.0
257: It is a parallelepiped, a = 12, b = 14, c = 20, density = 7.367, surface area = 1376.0
258: It is a parallelepiped, a = 20, b = 14, c = 12, density = 8.329, surface area = 1376.0
259: It is a parallelepiped, a = 20, b = 15, c = 11, density = 6.266, surface area = 1370.0
260: It is a parallelepiped, a = 10, b = 18, c = 18, density = 12.469, surface area = 1368.0
261: It is a parallelepiped, a = 10, b = 17, c = 19, density = 8.8, surface area = 1366.0
262: It is a parallelepiped, a = 16, b = 10, c = 20, density = 7.572, surface area = 1360.0
263: It is a parallelepiped, a = 16, b = 10, c = 20, density = 2.81, surface area = 1360.0
264: It is a parallelepiped, a = 15, b = 15, c = 15, density = 3.195, surface area = 1350.0
265: It is a parallelepiped, a = 15, b = 15, c = 15, density = 18.756, surface area = 1350.0
266: It is a parallelepiped, a = 19, b = 18, c = 9, density = 15.513, surface area = 1350.0
267: It is a parallelepiped, a = 19, b = 18, c = 9, density = 6.375, surface area = 1350.0
268: It is a parallelepiped, a = 9, b = 18, c = 19, density = 12.349, surface area = 1350.0
269: It is a parallelepiped, a = 15, b = 16, c = 14, density = 3.133, surface area = 1348.0
270: It is a parallelepiped, a = 14, b = 16, c = 15, density = 12.556, surface area = 1348.0
271: It is a parallelepiped, a = 17, b = 20, c = 9, density = 12.465, surface area = 1346.0
272: It is a parallelepiped, a = 17, b = 20, c = 9, density = 2.14, surface area = 1346.0
273: It is a parallelepiped, a = 20, b = 17, c = 9, density = 5.931, surface area = 1346.0
274: It is a parallelepiped, a = 9, b = 17, c = 20, density = 17.674, surface area = 1346.0
275: It is a parallelepiped, a = 13, b = 16, c = 16, density = 9.644, surface area = 1344.0
276: It is a parallelepiped, a = 16, b = 13, c = 16, density = 9.958, surface area = 1344.0
277: It is a parallelepiped, a = 17, b = 14, c = 14, density = 14.894, surface area = 1344.0
278: It is a parallelepiped, a = 14, b = 17, c = 14, density = 18.364, surface area = 1344.0
279: It is a parallelepiped, a = 14, b = 13, c = 18, density = 15.991, surface area = 1336.0
280: It is a parallelepiped, a = 12, b = 17, c = 16, density = 2.75, surface area = 1336.0
281: It is a parallelepiped, a = 18, b = 14, c = 13, density = 4.941, surface area = 1336.0
282: It is a parallelepiped, a = 16, b = 17, c = 12, density = 17.116, surface area = 1336.0
283: It is a parallelepiped, a = 12, b = 17, c = 16, density = 16.876, surface area = 1336.0
284: It is a parallelepiped, a = 14, b = 13, c = 18, density = 19.038, surface area = 1336.0
285: It is a parallelepiped, a = 13, b = 18, c = 14, density = 6.348, surface area = 1336.0
286: It is a parallelepiped, a = 14, b = 13, c = 18, density = 13.526, surface area = 1336.0
287: It is a parallelepiped, a = 16, b = 17, c = 12, density = 4.094, surface area = 1336.0
288: It is a parallelepiped, a = 14, b = 13, c = 18, density = 13.756, surface area = 1336.0
289: It is a parallelepiped, a = 12, b = 18, c = 15, density = 19.38, surface area = 1332.0
290: It is a parallelepiped, a = 15, b = 12, c = 18, density = 15.742, surface area = 1332.0
291: It is a parallelepiped, a = 18, b = 15, c = 12, density = 15.074, surface area = 1332.0
292: It is a parallelepiped, a = 19, b = 8, c = 19, density = 17.008, surface area = 1330.0
293: It is a parallelepiped, a = 8, b = 18, c = 20, density = 10.604, surface area = 1328.0
294: It is a parallelepiped, a = 18, b = 8, c = 20, density = 2.034, surface area = 1328.0
295: It is a parallelepiped, a = 19, b = 13, c = 13, density = 11.985, surface area = 1326.0
296: It is a parallelepiped, a = 17, b = 17, c = 11, density = 14.43, surface area = 1326.0
297: It is a parallelepiped, a = 13, b = 13, c = 19, density = 14.585, surface area = 1326.0
298: It is a parallelepiped, a = 17, b = 17, c = 11, density = 1.018, surface area = 1326.0
299: It is a parallelepiped, a = 19, b = 14, c = 12, density = 1.181, surface area = 1324.0
300: It is a parallelepiped, a = 19, b = 12, c = 14, density = 13.979, surface area = 1324.0
301: It is a parallelepiped, a = 14, b = 12, c = 19, density = 3.939, surface area = 1324.0
302: It is a parallelepiped, a = 14, b = 19, c = 12, density = 17.717, surface area = 1324.0
303: It is a parallelepiped, a = 19, b = 11, c = 15, density = 7.474, surface area = 1318.0
304: It is a parallelepiped, a = 15, b = 19, c = 11, density = 4.06, surface area = 1318.0
305: It is a parallelepiped, a = 19, b = 15, c = 11, density = 15.272, surface area = 1318.0
306: It is a parallelepiped, a = 13, b = 20, c = 12, density = 8.505, surface area = 1312.0
307: It is a parallelepiped, a = 17, b = 18, c = 10, density = 1.113, surface area = 1312.0
308: It is a parallelepiped, a = 13, b = 12, c = 20, density = 19.154, surface area = 1312.0
309: It is a parallelepiped, a = 17, b = 18, c = 10, density = 10.152, surface area = 1312.0
310: It is a parallelepiped, a = 10, b = 19, c = 16, density = 9.919, surface area = 1308.0
311: It is a parallelepiped, a = 20, b = 11, c = 14, density = 4.303, surface area = 1308.0
312: It is a parallelepiped, a = 10, b = 16, c = 19, density = 11.373, surface area = 1308.0
313: It is a parallelepiped, a = 14, b = 11, c = 20, density = 14.603, surface area = 1308.0
314: It is a parallelepiped, a = 11, b = 14, c = 20, density = 15.803, surface area = 1308.0
315: It is a parallelepiped, a = 11, b = 14, c = 20, density = 14.466, surface area = 1308.0
316: It is a parallelepiped, a = 7, b = 20, c = 19, density = 8.735, surface area = 1306.0
